"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"65","-2.5","-3","-2e-04","-6.25","0.2","0.2","NaN","-1.53405007656085","-5.26216225509825","4.01436393819113e-05","-6.86960636532142","0.427061443567957","0.282643111458062","0","2884.59290392854","-1423.54652623749","437"
"66","-1.5","-5","-2e-04","-6.25","0.2","0.2","NaN","-1.59059614055584","-5.49597976771833","5.99259857421232e-05","-8.01770861883467","0.436592483171822","0.279346491226593","0","2898.55062312751","-1430.52538583698","429"
"67","-2.5","-4","-5e-05","-7.5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","332"
"68","-2.5","-5","1e-04","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","602"
"69","-2.5","-4","-2e-04","-8.75","0.2","0.2","NaN","-2.1263098710183","-5.044789841368","-0.000164808186376123","-9.06442404773205","0.542247759968962","0.324122283227719","0","3122.38212940528","-1542.44113897586","182"
"70","-2.5","-1","-2e-04","-8.75","0.2","0.2","NaN","-2.46545577589002","0.359913144072957","-1.49184994356278","-10.0427155807038","0.679246819719117","0.2791270955128","0","3351.58491135122","-1657.04252994883","197"
"71","-2","-3","-5e-04","-5","0.2","0.2","NaN","-1.63725537146786","-2.91095905214244","-7.83827915220396e-05","-9.88403874709449","0.481421869167254","0.271399235101236","0","3024.60081807551","-1493.55048331098","513"
"72","-1.5","-5","-0.00035","-6.25","0.2","0.2","NaN","-1.55484543932398","-4.42305197595109","3.0123092233354e-05","-9.82797806257357","0.445196292243698","0.27941345614917","0","2911.62955820774","-1437.06485337709","404"
"73","-2.5","-5","-0.00035","-7.5","0.2","0.2","NaN","-1.55987962207948","-3.59168711248952","-1.69277884718487e-05","-9.21621155258385","0.474285231634423","0.277935329767879","0","2952.24823982277","-1457.37419418461","277"
"74","-2","-3","-2e-04","-8.75","0.2","0.2","NaN","-3.6987959187822","0.906358688545524","-9.80638143328649","-3.83211050812429","0.693290696849682","0.280685915560326","0","3373.74339412569","-1668.12177133607","188"
"75","-1","-2","-0.00035","-10","0.2","0.2","NaN","-1.53958609467118","-1.10490787842853","-0.00155394697903353","-10.1370430422655","0.606200974355402","0.284212324173881","0","3216.63049415826","-1589.56532135235","45"
"76","-1.5","-4","-5e-04","-6.25","0.2","0.2","NaN","-1.5072257999096","-4.18852953411161","2.85255399126133e-05","-10.9400348900152","0.445137912555711","0.281704397514311","0","2922.26942554662","-1442.38478704653","384"
"77","-1.5","-5","-5e-04","-10","0.2","0.2","NaN","-1.62419192145517","-4.51319712557488","2.45964573660653e-05","-10.289141174318","0.443416553811574","0.322100257406488","0","2928.91856175211","-1445.70935514928","4"
