"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"85","-2.5","-5e-04","-4","-2.375","0.2","0.2","NaN","-1.57035990619754","-5.59709113990218","8.09863142009212e-05","-1.94036372822201","0.432269899970848","0.279900117100965","0","2888.56917571976","-1425.5346621331","152"
"86","-1","-5e-05","-5","-0.5","0.2","0.2","NaN","-1.50921582582475","-4.91704297640195","6.56323196514566e-05","-2.15294273754719","0.442916707653776","0.273564664989664","0","2889.56597111362","-1426.03305983003","520"
"87","-2","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.30138220247071","-4.63233484374245","9.37658841274731e-05","0.652892089104303","0.416341042162528","0.280761007989507","0","2845.42906404893","-1403.96460629769","288"
"88","-2","1e-04","-3","-1.75","0.2","0.2","NaN","-0.690086807546023","-2.98112237988588","7.55984827865339e-05","2.01381283876447","0.446311710220258","0.280728268008151","0","2917.2880225746","-1439.89408556052","323"
"89","-2.5","-0.00035","-5","-0.5","0.2","0.2","NaN","-2.56690914479734","-4.7881393865404","-0.139131277823134","-0.693056802887331","0.67693529061634","0.281182592109291","0","3349.31352094951","-1655.90683474798","507"
"90","-2","-2e-04","-3","-2.375","0.2","0.2","NaN","-1.44539274980273","-2.9967603005177","-4.28507493995722e-05","-2.35934192754677","0.480702202060536","0.28069208417534","0","2995.05274676449","-1478.77644765546","188"
"91","-1.5","1e-04","-3","-1.75","0.2","0.2","NaN","0.397463354784438","-3.16205597790335","8.6411103885783e-05","4.39546772964842","0.454114506219035","0.279907494082941","0","2911.84135761908","-1437.17075308276","324"
"92","-2","-5e-05","-3","-2.375","0.2","0.2","NaN","-0.686996065596488","-2.99014508474185","7.72392211795161e-05","2.0248438618572","0.445870929544865","0.280647701187912","0","2916.48246272027","-1439.49130563335","193"
"93","-1","-2e-04","-4","-2.375","0.2","0.2","NaN","-1.19841229842492","-3.50376581747571","6.66451728846552e-05","-2.3936097458642","0.496860869171985","0.313031020600811","0","2988.1049933376","-1475.30257094202","165"
"94","-2.5","-0.00035","-4","-0.5","0.2","0.2","NaN","-1.34337972974186","-4.6018070240481","8.67961463735937e-05","0.061286560214616","0.415434264930416","0.281810212652517","0","2848.91969929663","-1405.70992392154","532"
"95","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.30906001295335","-4.63448707235636","9.12238717173171e-05","0.758983990223064","0.415233183730909","0.277446534796759","0","2845.80957391665","-1404.15486123154","470"
"96","-1.5","-5e-05","-2","-1.125","0.2","0.2","NaN","344.099762228558","-3.37989074357685","0.000125042374070252","348.5321711176","0.444938689895278","0.280678813450868","0","2914.26164849349","-1438.38089851997","469"
"97","-1","-5e-05","-5","-3","0.2","0.2","NaN","-1.61052577343906","-6.04504927684222","8.79249804173835e-05","-3.72144546227952","0.447750870478969","0.277070942649044","0","2909.24478412199","-1435.87246633422","20"
"98","-2","-0.00035","-2","-1.75","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","333"
