"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"57","-1.88888888888889","-1.88888888888889","0.2","0.2","NaN","-1.64632937194848","-4.57751644037206","0.446005489997075","0.280844098114691","0","2904.99213129731","-1439.99611516414","76"
"58","-1.22222222222222","-2.77777777777778","0.2","0.2","NaN","-1.64627885854263","-4.57699971593645","0.44604763053762","0.280851103554465","0","2904.9921299059","-1439.99611446843","59"
"59","-2.11111111111111","-4.11111111111111","0.2","0.2","NaN","-1.64627611288174","-4.57816091342941","0.445962523580164","0.280797150040789","0","2904.99224288252","-1439.99617095674","25"
"60","-2.33333333333333","-4.11111111111111","0.2","0.2","NaN","-1.64637632377669","-4.57685061534186","0.446030635002651","0.280878868409318","0","2904.99214192249","-1439.99612047673","24"
"61","-3","-2.77777777777778","0.2","0.2","NaN","-1.64632198209032","-4.5774028352936","0.44599801267302","0.280840680220841","0","2904.99213641867","-1439.99611772481","51"
"62","-1.44444444444444","-3.22222222222222","0.2","0.2","NaN","-1.64623339891653","-4.57733317383844","0.446087961683498","0.280845485734468","0","2904.9921429242","-1439.99612097758","48"
"63","-1.22222222222222","-1.88888888888889","0.2","0.2","NaN","-1.64602914871809","-4.57561084436143","0.445865199366125","0.280870277255539","0","2904.99238748508","-1439.99624325802","79"
"64","-2.55555555555556","-5","0.2","0.2","NaN","-1.64622566003009","-4.57760262826356","0.44606975300782","0.28083733176796","0","2904.99214600592","-1439.99612251844","3"
"65","-2.77777777777778","-2.77777777777778","0.2","0.2","NaN","-1.64622613630871","-4.57726601672682","0.446050177782089","0.280865744401674","0","2904.99212328567","-1439.99611115832","52"
"66","-1","-4.55555555555556","0.2","0.2","NaN","-1.64625147238781","-4.57663996294317","0.446034803382522","0.280893616776715","0","2904.9921485401","-1439.99612378553","20"
"67","-2.33333333333333","-1.44444444444444","0.2","0.2","NaN","-1.64622138441109","-4.57822366197039","0.445932964110187","0.28078761959294","0","2904.99230535111","-1439.99620219104","84"
"68","-1.88888888888889","-2.77777777777778","0.2","0.2","NaN","-1.64645032895754","-4.57740122142272","0.44602482581142","0.280970372611514","0","2904.99226331858","-1439.99618117477","56"
