"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"38","-2","-1","-8.75","0.2","0.2","NaN","-1.35140050553684","-4.71589405925138","-5.95898750918558","0.425958172615091","0.280807752190448","0","2863.47531637023","-1416.11272007946","48"
"39","-2","-1","-5","0.2","0.2","NaN","-1.35140050553684","-4.71589405925138","-5.95898750918558","0.425958172615091","0.280807752190448","0","2863.47531637023","-1416.11272007946","123"
"40","-3","-1","-10","0.2","0.2","NaN","-1.35097497328781","-4.71603192655747","-5.95670217084863","0.425978373513347","0.280843145749335","0","2863.47529062729","-1416.11270720799","21"
"41","-1.5","-5","-7.5","0.2","0.2","NaN","-1.35130181290309","-4.716365682458","-5.95766463406746","0.425989309668265","0.280795144720522","0","2863.47525367358","-1416.11268873114","54"
"42","-1","-5","-7.5","0.2","0.2","NaN","-1.35136239712699","-4.71716093425495","-5.95691115484872","0.425992991108378","0.280794215223267","0","2863.47529259048","-1416.11270818959","55"
"43","-3","-1","-7.5","0.2","0.2","NaN","-1.35097497328781","-4.71603192655747","-5.95670217084863","0.425978373513347","0.280843145749335","0","2863.47529062729","-1416.11270720799","71"
"44","-2","-1","-7.5","0.2","0.2","NaN","-1.35140050553684","-4.71589405925138","-5.95898750918558","0.425958172615091","0.280807752190448","0","2863.47531637023","-1416.11272007946","73"
"45","-3","-2","-10","0.2","0.2","NaN","-1.3514954832979","-4.7171675772971","-5.95680176652358","0.426098498765545","0.280827263389128","0","2863.47534488517","-1416.11273433694","16"
"46","-2","-3","-8.75","0.2","0.2","NaN","-1.35131601114896","-4.71584380772788","-5.95637473172353","0.425962515412158","0.280763366725348","0","2863.47537146237","-1416.11274762553","38"
"47","-1","-3","-5","0.2","0.2","NaN","-1.35106500250185","-4.71616724825711","-5.95488349632802","0.425934223719114","0.280815023931302","0","2863.475460723","-1416.11279225585","115"
"48","-1.5","-3","-5","0.2","0.2","NaN","-1.35150927818144","-4.71637588126553","-5.95854099561538","0.426009954481527","0.28079544688774","0","2863.47526749549","-1416.1126956421","114"
"49","-1","-3","-7.5","0.2","0.2","NaN","-1.35106500250185","-4.71616724825711","-5.95488349632802","0.425934223719114","0.280815023931302","0","2863.475460723","-1416.11279225585","65"
"50","-3","-3","-6.25","0.2","0.2","NaN","-1.35146282258312","-4.71569140749056","-5.9578267260653","0.426152270051368","0.280861142480376","0","2863.47538990048","-1416.11275684459","86"
"51","-2.5","-2","-6.25","0.2","0.2","NaN","-1.35130477303901","-4.71634679061994","-5.95862014303207","0.426069214562554","0.280889823056725","0","2863.47539212645","-1416.11275795757","92"
