"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"54","-1","-2.33333333333333","-2.375","0.2","0.2","NaN","-1.38903688869782","-4.15464195099957","0.551030571748687","0.425213333061756","0.280813333960173","0","2861.31428214613","-1415.03220296742","170"
"55","-1","-2.77777777777778","-2.375","0.2","0.2","NaN","-1.38962217911636","-4.15566598551742","0.549655822278613","0.425181226729528","0.280749910881017","0","2861.31431336769","-1415.0322185782","160"
"56","-2.55555555555556","-4.55555555555556","-1.125","0.2","0.2","NaN","-1.38907063368382","-4.15437386791383","0.551277605194266","0.425166181932311","0.280848669670526","0","2861.31430045334","-1415.03221212102","313"
"57","-2.77777777777778","-1.44444444444444","-0.5","0.2","0.2","NaN","-1.39006980959048","-4.15287645740675","0.548421915626344","0.425395184049211","0.280831697977014","0","2861.31557677776","-1415.03285028323","482"
"58","-2.77777777777778","-1.88888888888889","-1.125","0.2","0.2","NaN","-1.39205697138109","-4.15638425164356","0.502734160292536","0.424859764357405","0.280625847930882","0","2861.33436764828","-1415.04224571849","372"
"59","-1.88888888888889","-4.11111111111111","-1.75","0.2","0.2","NaN","-1.3893215290661","-4.15499730636989","0.55043002833641","0.425218174720961","0.280821433207617","0","2861.3142783193","-1415.032201054","226"
"60","-1.22222222222222","-2.77777777777778","-1.125","0.2","0.2","NaN","-1.39151588392916","-4.16827789630801","0.543453975748993","0.426429502916397","0.27982510374828","0","2861.34374090372","-1415.04693234621","359"
"61","-2.11111111111111","-1","-1.125","0.2","0.2","NaN","-1.38925103566426","-4.15537965797414","0.549479395322466","0.425165431568668","0.280776251485795","0","2861.31430832771","-1415.03221605821","395"
"62","-1","-5","-1.125","0.2","0.2","NaN","-1.38949406537786","-4.15485505823904","0.549901220965911","0.425146740184947","0.28079021792475","0","2861.31428388169","-1415.0322038352","310"
"63","-3","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.38883305523615","-4.15357611614348","0.55189927554914","0.425149609599076","0.280741093914848","0","2861.31434594954","-1415.03223486912","381"
"64","-1.44444444444444","-1.88888888888889","-1.125","0.2","0.2","NaN","-1.38903084057121","-4.15457271757496","0.551651421067406","0.42522279078179","0.280828652882725","0","2861.31429027604","-1415.03220703237","378"
"65","-2.55555555555556","-1.88888888888889","-3","0.2","0.2","NaN","-1.38909859690927","-4.15545163689293","0.552483008211803","0.425189726665384","0.280820786883064","0","2861.31431268391","-1415.0322182363","73"
"66","-1.44444444444444","-5","-1.125","0.2","0.2","NaN","-1.38943587113258","-4.15572924272442","0.549938497270492","0.425102840536312","0.280783659495597","0","2861.31431218735","-1415.03221798803","308"
