"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"21","-2.5","-5e-05","-2","0.2","0.2","NaN","-2.64685038544686","-2.08902670382125","-0.00125977490104132","0.585519750384121","0.284761020059013","0","3199.73105824905","-1584.24059101888","92"
"22","-2","1e-04","-1","0.2","0.2","NaN","-2.04766343579228","-0.937464159617626","-0.316214755788279","0.690151109155297","0.280082031778976","0","3362.72635358777","-1665.73823868824","123"
"23","-2","-5e-05","-5","0.2","0.2","NaN","-1.54827591015221","-5.19749212925725","7.32320415065578e-05","0.706580568266069","0.272267970931716","0","3073.51593033613","-1521.13302706242","18"
"24","-3","-5e-04","-1","0.2","0.2","NaN","-3.0444552461456","-1.08363408757337","-0.0294483313994016","0.661113678531365","0.281303945338611","0","3315.00160389703","-1641.87586384287","101"
"25","-2","-5e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","103"
"26","-1.5","-0.00035","-2","0.2","0.2","NaN","-1.82945933609892","-2.13127251171232","-0.000220314416530456","0.537244043130892","0.277683970261002","0","3119.49476929749","-1544.1224465431","84"
"27","-2","1e-04","-5","0.2","0.2","NaN","-1.61004470692089","-5.09778302022257","5.32874097916477e-05","0.44129311890701","0.280843913681255","0","2899.98043065525","-1434.36527722198","23"
"28","-3","-0.00035","-3","0.2","0.2","NaN","-1.46829891173988","-3.18651601405961","-2.83831930787437e-05","0.531539560794928","0.27816770592181","0","2997.06019630973","-1482.90516004922","56"
"29","-2.5","-0.00035","-2","0.2","0.2","NaN","-2.80859352673735","-1.79067164974527","-0.249567604132731","0.678686504530297","0.280675149966452","0","3347.24149375756","-1657.99580877313","82"
"30","-3","1e-04","-2","0.2","0.2","NaN","-2.93711506750861","-2.1558952240451","-0.209881689703716","0.679450915507057","0.280546355548812","0","3346.11473414273","-1657.43242896572","96"
"31","-1.5","-0.00035","-1","0.2","0.2","NaN","-3.03795175720557","0.0599587882121925","-0.874562273134141","0.69149203492704","0.279412611402172","0","3361.52125722803","-1665.13569050837","109"
"32","-2.5","-5e-05","-4","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42"
"33","-2","-2e-04","-1","0.2","0.2","NaN","-2.04913543981429","-0.936049919706969","-0.316686627676108","0.686612567094874","0.279794146744364","0","3362.75190245499","-1665.75101312185","113"
"34","-2.5","-0.00035","-1","0.2","0.2","NaN","-2.2962358039544","-1.02472660405964","-0.407800228258803","0.686980814719559","0.280207006930168","0","3351.86804388253","-1660.30908383562","107"
"35","-2.5","1e-04","-3","0.2","0.2","NaN","-1.49644264223843","-3.79281677883922","9.47658838161688e-06","0.463517261413886","0.281196064154281","0","2936.68329914865","-1452.71671146867","72"
"36","-1","-5e-05","-1","0.2","0.2","NaN","-1.20161884771169","-1.47035175416551","-0.00105594453288789","0.638668767675151","0.284095850762039","0","3222.50845104743","-1595.62928741807","120"
"37","-3","-5e-05","-5","0.2","0.2","NaN","-2.91906768086328","-4.86942769873075","-0.192833027618023","0.676158420099385","0.281083530394853","0","3344.86477644625","-1656.80745011748","16"
"38","-2","-2e-04","-4","0.2","0.2","NaN","-1.5732436299004","-4.56193470313024","3.65430493303053e-05","0.442526087816429","0.281812293128142","0","2904.60032261767","-1436.67522320319","38"
"39","-2","-5e-05","-2","0.2","0.2","NaN","-2.62235203051456","-1.28955783805907","-0.22598993437544","0.684693397901702","0.280657579787752","0","3354.79481657746","-1661.77247018308","93"
"40","-1.5","1e-04","-2","0.2","0.2","NaN","-1.45429393746546","-2.04895492788658","-0.000193124753090798","0.550956024900206","0.290218470329887","0","3127.01635005262","-1547.88323692066","99"
"41","-1.5","-5e-04","-3","0.2","0.2","NaN","-1.54769630415272","-2.97502301395251","-5.93782591265369e-05","0.495000565928018","0.279570484453344","0","3008.08898886112","-1488.41955632491","54"
"42","-1","-2e-04","-2","0.2","0.2","NaN","-1.26749013512168","-1.82415516971556","-0.000207104403463188","0.580205941918372","0.291184960499074","0","3174.70624918541","-1571.72818648706","90"
"43","-3","-5e-04","-4","0.2","0.2","NaN","-2.87869332788854","-4.04677391699245","-0.195302534917262","0.680086322745583","0.280745302415532","0","3344.74083783635","-1656.74548081253","26"
"44","-3","1e-04","-5","0.2","0.2","NaN","-2.90693318313207","-4.90078978986091","-0.190361491784611","0.676441204043057","0.281667945033101","0","3344.93001075905","-1656.84006727388","21"
"45","-1","-5e-04","-3","0.2","0.2","NaN","-1.53645376717501","-3.88097364069005","8.06545926309614e-06","0.447399493832449","0.315600092604639","0","2943.31863860996","-1456.03438119933","55"
"46","-2.5","-2e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87"
"47","-1","-2e-04","-1","0.2","0.2","NaN","-1.4191487734603","-0.971206152888959","-0.00177289638246837","0.62616335362887","0.282708008978547","0","3225.3855372557","-1597.0678305222","115"
"48","-1","1e-04","-5","0.2","0.2","NaN","-1.56773711836937","-4.56500854616331","3.73648751025817e-05","0.442506901771123","0.281485855364465","0","2904.63336545643","-1436.69174462256","25"
"49","-1.5","-2e-04","-5","0.2","0.2","NaN","-1.59563124124444","-4.80562525325834","4.34306662448248e-05","0.44214688977273","0.280798078693195","0","2901.1836720976","-1434.96689794315","14"
