"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"14","-1.5","-4","-5","0.2","0.2","NaN","-1.30348112721858","-4.50992847629926","-5.73107416155564","0.424868635958714","0.280798698539975","0","2860.63211560841","-1414.69111969856","109"
"15","-2.5","-4","-8.75","0.2","0.2","NaN","-1.30453059627846","-4.51021565599827","-5.72948790139204","0.424714530601251","0.280813574100742","0","2860.63192883538","-1414.69102631204","32"
"16","-2","-1","-7.5","0.2","0.2","NaN","-1.3041413365162","-4.51224489178077","-5.72966832227433","0.424845263715423","0.280796640725433","0","2860.63153112287","-1414.69082745578","73"
"17","-1","-1","-5","0.2","0.2","NaN","-1.3066276316212","-4.51824024232162","-5.72836024269978","0.425392351511187","0.280576043833654","0","2860.63866291227","-1414.69439335049","125"
"18","-2","-3","-5","0.2","0.2","NaN","-1.30296972706491","-4.51003926598807","-5.72558953959814","0.424787844200394","0.280890775833609","0","2860.63141374444","-1414.69076876657","113"
"19","-2","-4","-6.25","0.2","0.2","NaN","-1.30338204807933","-4.51076341408393","-5.72664184172835","0.42482651503214","0.280851787850812","0","2860.63130789501","-1414.69071584186","83"
"20","-2","-5","-10","0.2","0.2","NaN","-1.30347455442318","-4.51093816871033","-5.72700951698776","0.424798879915591","0.280864093091394","0","2860.63131664483","-1414.69072021677","3"
"21","-3","-4","-8.75","0.2","0.2","NaN","-1.30370777632","-4.51185484259042","-5.72713264625355","0.42488329141028","0.280790110112023","0","2860.63137463519","-1414.69074921195","31"
"22","-3","-5","-6.25","0.2","0.2","NaN","-1.3032664934687","-4.51087492220418","-5.72599569080015","0.424788360420147","0.280829455016849","0","2860.6313118928","-1414.69071784075","76"
"23","-3","-1","-7.5","0.2","0.2","NaN","-1.3037112952402","-4.51108323614057","-5.72829867900986","0.424812474378385","0.280848461779166","0","2860.63135831625","-1414.69074105248","71"
"24","-1","-4","-5","0.2","0.2","NaN","-1.3042514660623","-4.51095799488847","-5.72874633051349","0.42487940273553","0.280884525236019","0","2860.63158953049","-1414.6908566596","110"
