"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"75","-1","-2.33333333333333","-1.125","0.2","0.2","NaN","-2.27900004256239","-3.02480877926387","-0.937051188146248","0.271000322117972","0.241876432422397","0","2020.00508080989","-994.301550807543","370"
"76","-1.44444444444444","-4.11111111111111","-0.5","0.2","0.2","NaN","-2.26499958074581","-3.00273030539103","-0.830206854261523","0.271138648960858","0.24210251428954","0","2020.04036591072","-994.319193357961","428"
"77","-3","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.27756234669007","-3.02591044366466","-0.950262352480824","0.271103986434855","0.242102944102621","0","2020.00202096007","-994.300020882636","181"
"78","-1.44444444444444","-3.66666666666667","-1.125","0.2","0.2","NaN","-2.27749235639774","-3.02619961087155","-0.950457271572625","0.271066677729943","0.242194611831837","0","2020.00215771852","-994.30008926186","338"
"79","-1.66666666666667","-1.44444444444444","-1.125","0.2","0.2","NaN","-2.2773285694387","-3.0250434157851","-0.948880121905908","0.271100899171784","0.242098114537127","0","2020.00203040279","-994.300025603993","387"
"80","-1.44444444444444","-4.55555555555556","-3","0.2","0.2","NaN","-2.27814366042446","-3.02638728704621","-0.950630347309114","0.271152415283682","0.242160060368285","0","2020.00219054407","-994.300105674633","18"
"81","-2.33333333333333","-1","-2.375","0.2","0.2","NaN","-2.2774399431651","-3.0245664179716","-0.949065384134636","0.271091762549038","0.242031680972956","0","2020.00218410975","-994.300102457472","194"
"82","-1.44444444444444","-1.44444444444444","-1.125","0.2","0.2","NaN","-2.26909777215629","-3.01401878489164","-0.810953290948545","0.271365293707951","0.242060174288287","0","2020.05008274911","-994.324051777156","388"
"83","-1.44444444444444","-2.77777777777778","-3","0.2","0.2","NaN","-2.3388627120508","-3.14702293127481","-1.98794380591566","0.271146648118849","0.242346603815905","0","2021.43110087172","-995.014560838462","58"
"84","-1.44444444444444","-5","-0.5","0.2","0.2","NaN","-2.27762851808","-3.0255422054051","-0.950827193625593","0.271043376501913","0.242130384592458","0","2020.00206581716","-994.300043311177","408"
"85","-1.44444444444444","-3.22222222222222","-2.375","0.2","0.2","NaN","-2.27760159792072","-3.02594188101445","-0.949648728410336","0.271051015603556","0.242161139770346","0","2020.00208558529","-994.300053195245","148"
"86","-1.22222222222222","-1.44444444444444","-0.5","0.2","0.2","NaN","-2.22757560396676","-2.95679798339673","-0.257403241551104","0.272063417768752","0.24240308860565","0","2021.43973083568","-995.018875820438","489"
"87","-2.55555555555556","-5","-0.5","0.2","0.2","NaN","-2.27782125115597","-3.02687690231206","-0.951372539012799","0.271098269384203","0.242139330467463","0","2020.0020639844","-994.300042394799","403"
"88","-1.22222222222222","-2.77777777777778","-2.375","0.2","0.2","NaN","-2.27814178356441","-3.0266697065508","-0.954192976652595","0.271112485602995","0.242133331582776","0","2020.00210439468","-994.30006259994","159"
"89","-1","-3.22222222222222","-1.125","0.2","0.2","NaN","-2.27749082684629","-3.02535528953568","-0.950450816071633","0.271051015527443","0.242092653519218","0","2020.00205301604","-994.300036910622","350"
"90","-1","-5","-1.75","0.2","0.2","NaN","-2.2780645098354","-3.02548106327794","-0.949488269619982","0.271141452755988","0.242166698017876","0","2020.00223298979","-994.300126897496","210"
"91","-2.77777777777778","-3.22222222222222","-3","0.2","0.2","NaN","-2.37397843842567","-3.17268919365533","-3.38424419274584","0.271897068486811","0.242170183086756","0","2023.32372782453","-995.960874314865","42"
"92","-1.66666666666667","-2.77777777777778","-2.375","0.2","0.2","NaN","-2.31662800349712","-3.11882796076503","-1.40958044874776","0.270865612712491","0.241760707460552","0","2020.45495886353","-994.526489834362","157"
"93","-2.77777777777778","-4.11111111111111","-0.5","0.2","0.2","NaN","-2.27757596311575","-3.02519177864455","-0.949415395613304","0.271062878855388","0.242106017662148","0","2020.0020500765","-994.30003544085","422"
"94","-1.66666666666667","-5","-2.375","0.2","0.2","NaN","-2.27741591681298","-3.02568859209262","-0.947607893655262","0.27108002452261","0.242145920535305","0","2020.00204780207","-994.300034303632","107"
"95","-2.77777777777778","-1","-1.125","0.2","0.2","NaN","-2.27606852551495","-3.02397879667476","-0.945231106537445","0.271087823565668","0.242069787284976","0","2020.00231624339","-994.300168524297","392"
"96","-2.55555555555556","-3.66666666666667","-0.5","0.2","0.2","NaN","-2.27731243798066","-3.02530503248772","-0.947851609043761","0.271082444998225","0.242139109178182","0","2020.00203702499","-994.300028915097","433"
"97","-2.11111111111111","-1","-2.375","0.2","0.2","NaN","-2.27740743554617","-3.02576124069908","-0.948770884754377","0.271098482087921","0.24211159525749","0","2020.00201795074","-994.300019377967","195"
"98","-2.33333333333333","-2.77777777777778","-1.75","0.2","0.2","NaN","-2.27768487910817","-3.02666192390504","-0.948780393415448","0.271076469548281","0.242113197870176","0","2020.00204948715","-994.300035146173","254"
