"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"74","-2","-3","-2e-04","-8.75","0.2","0.2","NaN","-2.03782794340334","-5.95553346900974","0.000549162588383114","-5.9423323628381","0.244572611519748","0.240958797763718","0","1914.8411823628","-938.579403664518","188"
"75","-1","-2","-0.00035","-10","0.2","0.2","NaN","-2.0891979667643","-1.98160495585178","0.000308505016496942","-8.29058473645016","0.262988407185054","0.243676121299377","0","2058.60905461959","-1010.46333979292","45"
"76","-1.5","-4","-5e-04","-6.25","0.2","0.2","NaN","-2.12442358408904","-4.85140958872989","0.000651683876787438","-8.23940610335865","0.248447769069111","0.239744968957836","0","1936.48864558715","-949.403135276694","384"
"77","-1.5","-5","-5e-04","-10","0.2","0.2","NaN","-2.04194192260892","-7.90130165259143","0.000578163567468016","-5.86970627281062","0.244916402136297","0.242689534236275","0","1920.10334077474","-941.210482870491","4"
"78","-1","-5","-2e-04","-6.25","0.2","0.2","NaN","-1.77962209651661","-2.06933647379638","0.000591235720334794","-11.0480939109567","0.274344179681265","0.260499117382448","0","2079.71245677416","-1021.0150408702","430"
"79","-2.5","-5","-0.00035","-5","0.2","0.2","NaN","-2.52425916714476","-5.43364817814229","0.000423906035917037","-8.55748357923567","0.26004778005616","0.234200614274713","0","1979.72770006039","-971.022662513316","527"
"80","-2.5","-1","1e-04","-8.75","0.2","0.2","NaN","-2.02957053297463","-6.07445064108995","0.000570376674171336","-5.98702024763654","0.244518982935292","0.24150110914871","0","1915.64136757797","-938.979496272107","247"
"81","-1.5","-1","-2e-04","-10","0.2","0.2","NaN","-1.61540183063817","-0.600940007685107","-0.00206934502509995","-9.76227061937557","0.322609360523485","0.249131271593243","0","2220.54757357734","-1091.43259927179","74"
"82","-3","-3","-5e-04","-5","0.2","0.2","NaN","-2.03554226240592","-26.1664766344093","0.000580950348834308","-5.80592796669604","0.245787787608633","0.241991843544185","0","1921.15916277167","-941.738393868955","511"
"83","-1","-4","-5e-05","-6.25","0.2","0.2","NaN","-1.84586376713198","-0.416888329886063","-0.00261764985338333","-11.7835429733564","0.300904098290175","0.252305681438477","0","2193.95099456435","-1078.1343097653","460"
"84","-2","-5","-5e-05","-5","0.2","0.2","NaN","-2.09006744363951","-4.27215743992552","0.000664388498040301","-9.86956414838344","0.25151049865505","0.242305415191543","0","1945.01612730189","-953.666876134066","578"
"85","-1.5","-3","-2e-04","-10","0.2","0.2","NaN","-1.90612305035575","-4.46028773525631","0.000418886009758699","-5.49585241221829","0.239718158725117","0.243302089977308","0","1899.28541636722","-930.801520666731","64"
"86","-1","-5","-0.00035","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","530"
"87","-1.5","-2","-5e-04","-7.5","0.2","0.2","NaN","-2.14223374607586","-4.87750949237133","0.000676458212681133","-9.78268180439306","0.250622724059334","0.241899394430442","0","1942.41522806022","-952.36642651323","269"
"88","-3","-3","1e-04","-6.25","0.2","0.2","NaN","-2.03529467696167","-10.1751194007","0.000577978674966571","-5.80345618791782","0.255940685562378","0.213206227299955","0","1941.44370874287","-951.880666854556","486"
"89","-2.5","-4","-0.00035","-10","0.2","0.2","NaN","-1.64951672867983","-2.96371867220978","6.15040215297675e-05","-4.83535056715592","0.239991978513733","0.243975332427671","0","1907.32027728441","-934.818951125327","32"
"90","-1","-2","-2e-04","-7.5","0.2","0.2","NaN","-1.91231943725969","-4.79159863318694","0.000484607713437042","-5.57455017036729","0.239990238620408","0.24265625784142","0","1903.16948432798","-932.743554647111","320"
"91","-2","-4","-5e-04","-10","0.2","0.2","NaN","-2.11421301764701","-3.84212222250168","0.000587659268893276","-9.24491061952706","0.250731371218994","0.238842545754046","0","1949.1211572737","-955.719391119969","8"
"92","-1.5","-5","-5e-05","-10","0.2","0.2","NaN","-2.1438258204143","-5.24880791820737","0.000696708830178139","-9.46340958793452","0.250272773076443","0.242404134711121","0","1941.94541981068","-952.131522388457","79"
"93","-1","-2","-5e-05","-8.75","0.2","0.2","NaN","-1.99905686170231","-5.67380454677929","0.000553090104631127","-5.85972503452465","0.244188896554131","0.242043153162332","0","1912.43662312753","-937.377124046883","220"
"94","-2","-1","1e-04","-10","0.2","0.2","NaN","-2.06126710149885","-0.955969914272383","-0.00166871826481279","-7.65854611502663","0.302915871302729","0.242054317242595","0","2141.97563116776","-1052.146628067","123"
"95","-1","-3","-2e-04","-7.5","0.2","0.2","NaN","-2.07456569126951","-4.07745359721534","0.000571882165897398","-7.59664738552622","0.239920580934123","0.228181881451856","0","1938.5926494176","-950.45513719192","315"
"96","-2","-4","-5e-04","-8.75","0.2","0.2","NaN","-2.11421301764701","-3.84212222250168","0.000587659268893276","-9.24491061952706","0.250731371218994","0.238842545754046","0","1949.1211572737","-955.719391119969","133"
"97","-1","-1","-5e-04","-10","0.2","0.2","NaN","-1.79678055211926","-3.89197778825155","0.000294208695388293","-5.12460892465791","0.239597738148241","0.242196615155353","0","1893.52934659059","-927.923485778413","25"
"98","-3","-5","-5e-04","-10","0.2","0.2","NaN","-2.01526035824189","-6.3571162332722","0.000556480359509117","-5.7739028358024","0.244196965549292","0.242299247305433","0","1916.07751455825","-939.197569762243","1"
