"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"79","-1","-0.00035","-2e-04","-1","-1.75","0.2","0.2","NaN","-0.725701305163622","-0.00102425339361638","-2.10073358568263","-0.000164083155868744","3.67960191127682","0.261009292864229","0.215802547728857","0","1972.55459426471","-964.295911695994","1810"
"80","-2.5","-2e-04","-0.00035","-3","-0.5","0.2","0.2","NaN","-1.76261213119384","-0.000375961067072404","-3.49940990492671","0.000234315878672405","-0.863934056130236","0.229743777312125","0.242040702380456","0","1854.96249291563","-905.499861021454","2787"
"81","-3","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","386"
"82","-1.5","-2e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.56011120823625","-0.000472361369285077","-1.81055045010782","-0.000509155158146169","-1.18599542802427","0.254068190820181","0.242678254377679","0","1953.46772582015","-954.752477473712","2264"
"83","-3","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","-1.92134821408546","-0.000315056081198208","-6.26479433455277","0.000562361947371195","0.20174419512195","0.2409166949558","0.234398492749586","0","1905.46106279248","-930.74914595988","2506"
"84","-3","-5e-04","-5e-05","-5","-0.5","0.2","0.2","NaN","-3.23818159034982","-9.01580507706561e-05","-4.34347911123833","-0.409681709163511","-0.288487145120923","0.348315309240442","0.242320104771244","0","2301.87719184702","-1128.95721048715","2576"
"85","-2.5","1e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.77247522103459","-0.000382397579700443","-2.11970325604768","-0.000376029565551536","-3.08989709231119","0.247551887908114","0.261028781945594","0","1938.06539888145","-947.051314004364","397"
"86","-2.5","-5e-05","-5e-04","-5","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1892"
"87","-2.5","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.85168072875677","-0.000346277327256588","-3.69301137154167","0.000236868528239725","-2.50673202778292","0.23084353790834","0.24240278577136","0","1858.39295142876","-907.215090278018","387"
"88","-3","1e-04","-0.00035","-4","-1.75","0.2","0.2","NaN","-1.87016387847589","-0.000336222913301187","-4.36139730703138","0.000389670140877076","-1.36832027228895","0.231975046757992","0.240682524429311","0","1863.14643256768","-909.591830847479","1421"
"89","-2.5","1e-04","-2e-04","-3","-1.125","0.2","0.2","NaN","-2.3299112805393","-0.0002109997486108","-4.04815004393963","0.000748829290938606","-0.934685866399934","0.241327285185889","0.221659340148094","0","1983.91100020972","-969.974114668497","2197"
"90","-2.5","-5e-05","1e-04","-3","-1.125","0.2","0.2","NaN","-1.73032434075717","-0.000387319367673797","-3.39082939151139","0.000218960390018917","-0.533341037484582","0.229790645288394","0.241494912029432","0","1856.0921918666","-906.064710496937","2242"
"91","-2.5","-5e-05","-5e-05","-4","-3","0.2","0.2","NaN","-1.87906230323516","-0.000337435998089399","-3.80320692065073","0.000242178426442146","-3.59719858896905","0.230885860741141","0.241994978917358","0","1860.47581574491","-908.256522436093","217"
"92","-1","-2e-04","-0.00035","-3","-2.375","0.2","0.2","NaN","-1.91380387317047","-0.000325525826809732","-2.52098851657378","-0.000210111230843835","-2.20608637272814","0.299482979103559","0.262361063017542","0","1955.33930376982","-955.688266448548","915"
"93","-1","-5e-04","-2e-04","-3","-2.375","0.2","0.2","NaN","-1.00892627606163","-0.000731829881818938","-3.39796761752459","0.073251278968218","-2.88301210692733","0.341614039189649","0.235315250412658","0","2259.06041829524","-1107.54882371126","930"
"94","-3","-5e-04","-5e-04","-3","-2.375","0.2","0.2","NaN","-2.5281371960466","-0.000157478981342967","-2.09242345015521","-0.000545243244059722","-11.7017188376217","0.285781365183758","0.252514592906848","0","2049.60787716988","-1002.82255314858","876"
"95","-2.5","-2e-04","1e-04","-5","-0.5","0.2","0.2","NaN","-1.84148028112561","-0.000341973033299368","-4.72437605516968","0.000480689172308072","-0.507246000748365","0.233259776939728","0.241016137949872","0","1872.83391591658","-914.43557252193","2612"
"96","-1.5","-5e-05","-0.00035","-4","-1.125","0.2","0.2","NaN","-1.80268669264037","-0.000361854446295998","-3.64822209378665","0.000251878418857148","-1.26733033102692","0.229787737902243","0.241192146344755","0","1855.19798092336","-905.617605025322","2044"
"97","-2","-5e-05","-5e-04","-5","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","18"
"98","-3","-5e-04","1e-04","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601"
