"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"58","-0.5","0.001","0.001","0.005","0.005","0.2","0.2","NaN","-1.67061511064796","0.0016576682319538","0.0020056003808352","0.00183811025520074","0.00119465427958197","0.266322819063801","0.230157837988613","0","59.927054701422","-11.2486509931999","664"
"59","-1","5e-04","0.005","0.005","5e-04","0.2","0.2","NaN","-1.80855029985838","0.0015766615907801","0.00204604050004153","0.0020074649694723","0.000968696900710309","0.270379852289935","0.229112549100258","0","58.2510712110557","-10.4106592480167","163"
"60","-3","0.005","5e-04","0.001","5e-04","0.2","0.2","NaN","-2.6403476888194","0.00164941678909697","0.00194998342143035","0.00111926561429357","0.000557749930032442","0.209571377582162","0.225228601900057","0","105.387411726223","-33.9788295056004","74"
"61","-5","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-2.4679056724089","0.0015851074738832","0.00211219371402949","0.0016370423810742","0.000341599592806534","0.274490174420359","0.234986910902235","0","67.7596957890901","-15.1649715370339","109"
"62","-0.5","0.001","5e-04","0.001","0.001","0.2","0.2","NaN","-1.93002764938275","0.00167537217809136","0.00197040763916445","0.00188289280298776","0.000956232636144325","0.268706261767136","0.231581201665941","0","59.7235133516072","-11.1468803182924","328"
"63","-5","0.001","0.001","5e-04","0.005","0.2","0.2","NaN","-3.37070625716976","0.00159986422420766","0.00211059128115517","0.00129537226398244","-0.00400173299430808","0.268750516924259","0.227206889928975","0","85.7399253027291","-24.1550862938534","533"
"64","-5","0.001","5e-04","0.001","5e-04","0.2","0.2","NaN","-1.84456476383954","0.00161286795855783","0.00205725000315862","0.00203036934353101","0.000912996587317984","0.263265598008457","0.227632851091112","0","58.6163844262346","-10.5933158556061","197"
"65","-0.5","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-1.7878154742073","0.00158024636805425","0.00205919518474792","0.00200467695644138","0.000992273973999761","0.26866981900661","0.228301716385096","0","58.2391336429706","-10.4046904639741","112"
"66","-3","0.001","0.001","0.005","0.001","0.2","0.2","NaN","-1.79729767130248","0.00156025849492357","0.00208573659241656","0.00200967996069051","0.000947732352462632","0.265760733994225","0.22923831395428","0","58.1911652513294","-10.3807062681536","446"
"67","-1","0.001","0.005","0.005","0.001","0.2","0.2","NaN","-1.80449270103323","0.00168568040654758","0.00202355074647581","0.00201451745801248","0.000982035545344323","0.270335728785285","0.229256717561633","0","59.1615479443457","-10.8658976146617","431"
