"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"79","-2.5","-5","-0.00035","-5","0.2","0.2","NaN","-2.41986692989699","-8.56976894811525","0.000530513320033543","-5.95533666708683","0.218332287895622","0.242670818505119","0","1797.56366315227","-879.940644059252","527"
"80","-2.5","-1","1e-04","-8.75","0.2","0.2","NaN","-2.42079582826211","-6.25456196894695","0.000527168641637651","-6.12791440279617","0.218095538887283","0.243282217565786","0","1795.60456597327","-878.961095469753","247"
"81","-1.5","-1","-2e-04","-10","0.2","0.2","NaN","-2.34561821040093","-3.49991838790835","0.000685618156796409","-17.8218668333833","0.250837084412075","0.316866620192004","0","1900.30050777974","-931.30906637299","74"
"82","-3","-3","-5e-04","-5","0.2","0.2","NaN","-3.06380787369161","-4.1086680897273","0.000110017397144712","-7.33147031213053","0.234498545048941","0.243287500166919","0","1864.06835247295","-913.192988719595","511"
"83","-1","-4","-5e-05","-6.25","0.2","0.2","NaN","-2.39451336351709","-5.52110989572449","0.00048442777273155","-5.96269037759524","0.217359087069264","0.24246414577201","0","1792.70912489947","-877.513374932854","460"
"84","-2","-5","-5e-05","-5","0.2","0.2","NaN","-2.39889665277682","-5.94421775126408","0.000496916687965418","-5.9205189531464","0.217718410329814","0.242513976594239","0","1794.18021360355","-878.248919284894","578"
"85","-1.5","-3","-2e-04","-10","0.2","0.2","NaN","-2.39142168787757","-5.25344692279996","0.000470978232771415","-5.99292829401069","0.217019298775808","0.241970516130257","0","1791.63533564781","-876.976480307026","64"
"86","-1","-5","-0.00035","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","530"
"87","-1.5","-2","-5e-04","-7.5","0.2","0.2","NaN","-2.51838472088319","-4.77014678785266","0.000632113277276293","-9.92126206952165","0.220989436880933","0.242753746461072","0","1810.76579628496","-886.541710625599","269"
"88","-3","-3","1e-04","-6.25","0.2","0.2","NaN","-2.14114597032608","-3.46452616747943","0.000125052972077965","-5.07689128189666","0.214744393838271","0.242683582849935","0","1779.90272917798","-871.110177072107","486"
"89","-2.5","-4","-0.00035","-10","0.2","0.2","NaN","-2.55063465025787","-6.44494076214837","0.000525323898796797","-6.98023278128781","0.216208616197477","0.240238102980667","0","1802.55797022449","-882.437797595366","32"
"90","-1","-2","-2e-04","-7.5","0.2","0.2","NaN","-2.46756360332186","-2.46845070952791","0.000247216416809144","-7.71935136919884","0.216919997656981","0.23045478412","0","1847.79685007072","-905.057237518478","320"
"91","-2","-4","-5e-04","-10","0.2","0.2","NaN","-2.39111674154258","-2.73482768226913","0.000477037097214338","-9.98424376963754","0.226410216861645","0.241098052694356","0","1838.85213732943","-900.584881147834","8"
"92","-1.5","-5","-5e-05","-10","0.2","0.2","NaN","-2.46450230940892","-3.57243708490705","0.000544375141488004","-9.92368469925742","0.221730084227779","0.246640308069539","0","1817.14105983097","-889.729342398606","79"
"93","-1","-2","-5e-05","-8.75","0.2","0.2","NaN","-2.46711544324194","-2.45510510246207","0.000244366522596472","-7.71170409691923","0.217104258306857","0.230549000301256","0","1848.33570289995","-905.326663933095","220"
"94","-2","-1","1e-04","-10","0.2","0.2","NaN","-2.51733153136052","-4.79952774363154","0.000633864406351614","-9.75452342642955","0.221057038698677","0.242498687426315","0","1810.57872889602","-886.448176931131","123"
"95","-1","-3","-2e-04","-7.5","0.2","0.2","NaN","-2.39394215847812","-5.17211454005598","0.000471656188355218","-6.04256485579675","0.216351279928479","0.24002358258807","0","1791.61474005742","-876.966182511827","315"
"96","-2","-4","-5e-04","-8.75","0.2","0.2","NaN","-2.39111674154258","-2.73482768226913","0.000477037097214338","-9.98424376963754","0.226410216861645","0.241098052694356","0","1838.85213732943","-900.584881147834","133"
"97","-1","-1","-5e-04","-10","0.2","0.2","NaN","-2.11091158336505","-3.3970902680858","0.000103044598869201","-4.99624467739975","0.214054563685029","0.243145306029259","0","1780.01064827024","-871.164136618239","25"
"98","-3","-5","-5e-04","-10","0.2","0.2","NaN","-2.51512292705645","-4.66422056568328","0.000621038433852411","-9.58725670179133","0.220855990418387","0.242406990255959","0","1810.39123766037","-886.354431313303","1"
