"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"18","-2","-3","-5","0.2","0.2","NaN","-2.09739987742226","-3.27517052233565","-4.90037559221854","0.214926677504299","0.242642664473182","0","1774.55107921878","-871.574550011989","113"
"19","-2","-4","-6.25","0.2","0.2","NaN","-2.09754427468912","-3.27528883349019","-4.900232002496","0.214968874780399","0.242678908381601","0","1774.55107306943","-871.574546937314","83"
"20","-2","-5","-10","0.2","0.2","NaN","-2.09953440696635","-3.27836372213126","-4.90684502105345","0.215074342611956","0.242627930266","0","1774.5525052216","-871.575263013402","3"
"21","-3","-4","-8.75","0.2","0.2","NaN","-2.09729235075769","-3.27568214098378","-4.89928554862757","0.214941816849303","0.242662758925171","0","1774.55106608512","-871.57454344516","31"
"22","-3","-5","-6.25","0.2","0.2","NaN","-2.09754028758237","-3.2777483218383","-4.90110992657224","0.214916885418566","0.242508837311975","0","1774.55182473698","-871.574922771087","76"
"23","-3","-1","-7.5","0.2","0.2","NaN","-2.09747600956923","-3.27430208259391","-4.90018138821151","0.214945117269535","0.242674498412397","0","1774.55108232823","-871.574551566717","71"
"24","-1","-4","-5","0.2","0.2","NaN","-2.09759870943261","-3.27481558208777","-4.8999255779929","0.214927409730133","0.24269059855159","0","1774.55109633639","-871.574558570795","110"
"25","-2.5","-3","-8.75","0.2","0.2","NaN","-2.09749380039781","-3.27527221802376","-4.89995670971495","0.214931114655135","0.242664886333432","0","1774.55105571418","-871.57453825969","37"
"26","-1","-2","-8.75","0.2","0.2","NaN","-2.09649514245044","-3.27487166325724","-4.89860199895733","0.214947697662747","0.242668712436907","0","1774.55118344999","-871.574602127594","45"
"27","-2","-1","-6.25","0.2","0.2","NaN","-2.09753048549822","-3.27510802321182","-4.89982389565285","0.214936233987626","0.242684429824137","0","1774.55107015476","-871.574545479977","98"
"28","-1","-5","-6.25","0.2","0.2","NaN","-2.09411997622424","-3.27403091066381","-4.89107199798703","0.21511268258598","0.242759968927829","0","1774.55331823478","-871.575669519988","80"
"29","-1.5","-5","-5","0.2","0.2","NaN","-2.09896031862243","-3.27491159834168","-4.90494225486202","0.214895599072719","0.242762855370346","0","1774.55174992709","-871.574885366144","104"
"30","-1","-1","-6.25","0.2","0.2","NaN","-2.10891256928513","-3.27528284592047","-4.91868410338643","0.214614211115175","0.242904385897819","0","1774.57336319042","-871.585691997812","100"
"31","-2.5","-1","-10","0.2","0.2","NaN","-2.09715082624518","-3.2747613115469","-4.8994049812423","0.214937704197235","0.242679231749817","0","1774.55107195083","-871.574546378014","22"
"32","-2.5","-5","-7.5","0.2","0.2","NaN","-2.09704506499734","-3.2755222172266","-4.89946701895649","0.21484079126015","0.242711070554822","0","1774.55140465744","-871.57471273132","52"
"33","-1","-2","-5","0.2","0.2","NaN","-2.09649514245044","-3.27487166325724","-4.89860199895733","0.214947697662747","0.242668712436907","0","1774.55118344999","-871.574602127594","120"
"34","-1","-4","-6.25","0.2","0.2","NaN","-2.0969223621924","-3.27332989397897","-4.89941560423454","0.215002083847175","0.242756429778039","0","1774.55139414594","-871.574707475568","85"
"35","-2.5","-1","-7.5","0.2","0.2","NaN","-2.09715082624518","-3.2747613115469","-4.8994049812423","0.214937704197235","0.242679231749817","0","1774.55107195083","-871.574546378014","72"
"36","-3","-2","-8.75","0.2","0.2","NaN","-2.09719071566365","-3.27467632530031","-4.89946784307319","0.214945407966725","0.24268315450094","0","1774.55107331069","-871.574547057946","41"
"37","-3","-2","-10","0.2","0.2","NaN","-2.09719071566365","-3.27467632530031","-4.89946784307319","0.214945407966725","0.24268315450094","0","1774.55107331069","-871.574547057946","16"
"38","-1","-3","-5","0.2","0.2","NaN","-2.09743381843067","-3.27503629772076","-4.90134617660188","0.214973919036035","0.242646740000929","0","1774.55117235384","-871.57459657952","115"
"39","-1","-4","-8.75","0.2","0.2","NaN","-2.0969223621924","-3.27332989397897","-4.89941560423454","0.215002083847175","0.242756429778039","0","1774.55139414594","-871.574707475568","35"
"40","-2","-5","-6.25","0.2","0.2","NaN","-2.0957678911559","-3.27380507070365","-4.89677642235194","0.21493208942212","0.24269030550952","0","1774.55137364953","-871.574697227363","78"
"41","-2.5","-5","-6.25","0.2","0.2","NaN","-2.09704506499734","-3.2755222172266","-4.89946701895649","0.21484079126015","0.242711070554822","0","1774.55140465744","-871.57471273132","77"
"42","-1.5","-3","-5","0.2","0.2","NaN","-2.0977585810929","-3.27564210322393","-4.89928714941641","0.214968031938331","0.242709263583179","0","1774.55118181141","-871.574601308305","114"
"43","-2.5","-2","-8.75","0.2","0.2","NaN","-2.09873792302981","-3.2767392992481","-4.90224604325989","0.214860354992633","0.242658749868611","0","1774.55138346744","-871.574702136319","42"
"44","-1.5","-5","-8.75","0.2","0.2","NaN","-2.09896031862243","-3.27491159834168","-4.90494225486202","0.214895599072719","0.242762855370346","0","1774.55174992709","-871.574885366144","29"
