"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"86","-2.5","-5e-05","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.24542811960413","-0.000205070999053909","-4.07393966111398","0.000323765606430887","-1.09677855546108","0.210833596424507","0.239575872940159","0","1773.52613846085","-864.781683794066","1892"
"87","-2.5","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","-2.24375092302852","-0.000209840623959252","-3.42859883352265","0.000136202655312357","-2.05529909778943","0.21303249099725","0.242590642737734","0","1770.29603628886","-863.166632708069","387"
"88","-3","1e-04","-0.00035","-4","-1.75","0.2","0.2","NaN","-2.28769733017481","-0.000192871755145144","-4.55058865185567","0.000392246331752307","-1.0767945850332","0.214986676661619","0.241067654639218","0","1778.25315845689","-867.145193792082","1421"
"89","-2.5","1e-04","-2e-04","-3","-1.125","0.2","0.2","NaN","-2.35373051365459","-0.000174895687497395","-4.88757699443036","0.000385416920501721","-0.845780028354459","0.219922655383097","0.243739721676705","0","1783.40812387392","-869.722676500598","2197"
"90","-2.5","-5e-05","1e-04","-3","-1.125","0.2","0.2","NaN","-2.16689411534447","-0.000225137194035229","-3.28483701787589","0.0001425140881845","-0.563268518136864","0.211879288266377","0.24293789578624","0","1769.15266065651","-862.594944891895","2242"
"91","-2.5","-5e-05","-5e-05","-4","-3","0.2","0.2","NaN","-2.32712135462098","-0.000188550799553772","-3.96200050482847","0.000224801040952048","-2.80332657967954","0.212343212470878","0.243286999626766","0","1773.90761922759","-864.972424177436","217"
"92","-1","-2e-04","-0.00035","-3","-2.375","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","915"
"93","-1","-5e-04","-2e-04","-3","-2.375","0.2","0.2","NaN","-1.94910836253785","-0.000468706593919873","-106.303162073816","0.0552484631436013","-8.87704127764222","0.275525961994723","0.242857557571268","0","2052.92955050833","-1004.4833898178","930"
"94","-3","-5e-04","-5e-04","-3","-2.375","0.2","0.2","NaN","-2.38259703529923","-0.000174220463624911","-4.63763838351684","0.000319891218019539","-3.42535934838869","0.213967181377039","0.243706513020396","0","1780.30607814429","-868.171653635786","876"
"95","-2.5","-2e-04","1e-04","-5","-0.5","0.2","0.2","NaN","-2.04762057835269","-0.000256545205757309","-3.17081521476122","0.000189118243245806","0.776569746337544","0.220652086262371","0.21870774444831","0","1792.752279452","-874.394754289638","2612"
"96","-1.5","-5e-05","-0.00035","-4","-1.125","0.2","0.2","NaN","-1.40898045284197","-0.000494424721000646","-3.74554244788463","0.0026577718311607","-1.32922075614853","0.265275389499682","0.243360594600416","0","1951.32647428254","-953.681851704907","2044"
"97","-2","-5e-05","-5e-04","-5","-3","0.2","0.2","NaN","-2.3663294696316","-0.000177677375130902","-4.41035001029953","0.00029272023816728","-2.57695560018834","0.213673317480728","0.243362658432138","0","1777.84196627804","-866.93959770266","18"
"98","-3","-5e-04","1e-04","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1601"
