"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"29","-1.22222222222222","-3.22222222222222","-2.375","0.2","0.2","NaN","-2.59948988330244","-3.03076107016524","-0.732796256437368","0.229283790157843","0.242751193194208","0","1843.42873499117","-906.013377898183","149"
"30","-2.77777777777778","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.62913684887039","-3.12197725237692","-0.933798396169928","0.22877845970936","0.243061810112697","0","1843.38205292286","-905.990036864029","172"
"31","-2.33333333333333","-1","-1.75","0.2","0.2","NaN","-2.6173423742011","-3.07826867367631","-0.92090255273809","0.229205267113171","0.24270744655723","0","1843.34658461447","-905.972302709834","294"
"32","-1.44444444444444","-4.11111111111111","-1.125","0.2","0.2","NaN","-2.59125706092493","-3.01857850265806","-0.618436786653423","0.229256102254931","0.242775879260052","0","1843.54466183772","-906.07134132146","328"
"33","-2.33333333333333","-1.44444444444444","-3","0.2","0.2","NaN","-2.61846223859548","-3.08235082451206","-0.923609995476419","0.229181248678251","0.242674588350113","0","1843.34669484843","-905.972357826814","84"
"34","-1","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.61843891654988","-3.0814416104327","-0.936942830248637","0.229201493351847","0.242715871085311","0","1843.3470090184","-905.972514911799","250"
"35","-1","-1.44444444444444","-3","0.2","0.2","NaN","-2.62164767360829","-3.08364799868465","-0.992127755637318","0.229222227344142","0.242693840268727","0","1843.35528222529","-905.976651515245","90"
"36","-1.22222222222222","-4.11111111111111","-1.75","0.2","0.2","NaN","-2.61813197577383","-3.08120571481757","-0.920478603572338","0.229206243079931","0.242705907914098","0","1843.34660209969","-905.972311452445","229"
"37","-2.55555555555556","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.65777908532005","-3.1600356805347","-1.60860607634895","0.229263820058013","0.242717769480784","0","1843.92465932734","-906.261340066271","183"
"38","-2.33333333333333","-4.55555555555556","-0.5","0.2","0.2","NaN","-2.61660315468919","-3.07672434655696","-0.916183686738597","0.229151376675687","0.242724996575848","0","1843.34676307063","-905.972391937914","414"
"39","-2.77777777777778","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.61781238186165","-3.07968801545578","-0.921440312696898","0.229186877753249","0.242703154737296","0","1843.34655227562","-905.972286540411","182"
"40","-3","-1.44444444444444","-3","0.2","0.2","NaN","-2.6176793281811","-3.07779290857079","-0.919403144919842","0.229237320027263","0.242714358984123","0","1843.34666715321","-905.972343979203","81"
"41","-1.22222222222222","-4.55555555555556","-1.75","0.2","0.2","NaN","-2.617428262811","-3.0792591258336","-0.922749780253063","0.229181639092253","0.24270038746449","0","1843.3465900309","-905.972305418047","219"
"42","-1.22222222222222","-3.66666666666667","-0.5","0.2","0.2","NaN","-2.61781000253878","-3.07948636622849","-0.922987491975429","0.22920720573406","0.242700657209944","0","1843.3465624938","-905.972291649502","439"
"43","-1.22222222222222","-4.11111111111111","-2.375","0.2","0.2","NaN","-2.67599286435581","-3.22978656780833","-1.95460015348145","0.229528831508104","0.242745597800526","0","1844.46263545202","-906.530328128611","129"
"44","-2.55555555555556","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.61741549563493","-3.07858802610246","-0.920969662846881","0.229196436455229","0.24271670700575","0","1843.34656972913","-905.972295267162","243"
"45","-2.55555555555556","-4.11111111111111","-1.75","0.2","0.2","NaN","-2.6177512862773","-3.07957313893499","-0.921031561554793","0.229186586087842","0.242725520905426","0","1843.34655323169","-905.972287018446","223"
"46","-2.11111111111111","-2.33333333333333","-2.375","0.2","0.2","NaN","-2.61743331863412","-3.07893887120054","-0.921792917581402","0.229203342105515","0.24273843802654","0","1843.34658369447","-905.972302249834","165"
"47","-1.66666666666667","-1.88888888888889","-0.5","0.2","0.2","NaN","-2.61783292568064","-3.07971530255469","-0.920536669118956","0.22918186918641","0.242742009163424","0","1843.34657083869","-905.972295821944","477"
"48","-3","-1","-2.375","0.2","0.2","NaN","-2.61766301279392","-3.07964693027808","-0.920868771000094","0.229179654859318","0.242722547825805","0","1843.34655716501","-905.972288985102","191"
"49","-1.44444444444444","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.61762509879535","-3.07873757178022","-0.920041397857476","0.22918644843572","0.242762691685069","0","1843.3466087984","-905.972314801801","178"
"50","-1.88888888888889","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.61768083838507","-3.07974582347188","-0.921175683535482","0.229184134556141","0.242718916185017","0","1843.34655461426","-905.97228770973","316"
"51","-1.66666666666667","-5","-1.75","0.2","0.2","NaN","-2.69522596454033","-3.24884935043056","-2.70852893255006","0.22957449221533","0.242722204676728","0","1845.37230230565","-906.985161555424","207"
"52","-1","-3.22222222222222","-3","0.2","0.2","NaN","-2.61757615689777","-3.07846303301329","-0.922741265427179","0.229059559629624","0.242707840418258","0","1843.34695231569","-905.972486560444","50"
"53","-2.33333333333333","-1","-1.125","0.2","0.2","NaN","-2.62347886895321","-3.08973237428356","-1.02543162318538","0.229183811679114","0.242667787459692","0","1843.36470644633","-905.981363625763","394"
"54","-1","-2.33333333333333","-2.375","0.2","0.2","NaN","-2.63534429439493","-3.11886895406705","-1.18235786322883","0.229293650677828","0.242680610667213","0","1843.45437505924","-906.026197932221","170"
"55","-1","-2.77777777777778","-2.375","0.2","0.2","NaN","-2.61726718003012","-3.0802543376601","-0.923110162436402","0.229195662025496","0.242731749291112","0","1843.34668888625","-905.972354845723","160"
"56","-2.55555555555556","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.65607809918643","-3.1587654052278","-1.57114625105784","0.22935437571995","0.242666918292354","0","1843.87596145826","-906.236991131727","313"
