"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"25","-1.88888888888889","-1.44444444444444","0.2","0.2","NaN","-1.93654110736352","-4.42392873347623","0.431649658624729","0.280210004333898","0","2868.57298236139","-1421.78654069618","86"
"26","-1.66666666666667","-4.11111111111111","0.2","0.2","NaN","-1.93668812234376","-4.42501587586445","0.431653503223004","0.280201181413805","0","2868.57299007727","-1421.78654455412","27"
"27","-2.55555555555556","-1.88888888888889","0.2","0.2","NaN","-1.93660177870438","-4.42279162453274","0.431587791844288","0.280265915510009","0","2868.5730560953","-1421.78657756313","73"
"28","-1","-2.33333333333333","0.2","0.2","NaN","-1.93661927509608","-4.42308566352002","0.431646836806089","0.28028222823962","0","2868.57305628989","-1421.78657766043","70"
"29","-2.11111111111111","-5","0.2","0.2","NaN","-1.936696871281","-4.42416809546313","0.431644577656315","0.280215038547245","0","2868.57297362181","-1421.78653632639","5"
"30","-2.77777777777778","-1","0.2","0.2","NaN","-1.9361939472707","-4.42363611797764","0.43149138472077","0.280165976668826","0","2868.57318551596","-1421.78664227346","92"
"31","-2.33333333333333","-3.66666666666667","0.2","0.2","NaN","-1.936781465536","-4.42532533712923","0.43165569976886","0.280221074166415","0","2868.57299175598","-1421.78654539347","34"
"32","-1.44444444444444","-1","0.2","0.2","NaN","-1.9366312496017","-4.42496925909845","0.431561497862215","0.280199020971592","0","2868.57301441237","-1421.78655672167","98"
"33","-3","-2.33333333333333","0.2","0.2","NaN","-1.93671746194825","-4.42507030024758","0.431632724079889","0.28023057656714","0","2868.57298259947","-1421.78654081522","61"
"34","-2.11111111111111","-3.66666666666667","0.2","0.2","NaN","-1.93691469422236","-4.42437078617557","0.431532022359933","0.280251488523262","0","2868.57305070609","-1421.78657486853","35"
"35","-2.33333333333333","-2.33333333333333","0.2","0.2","NaN","-1.9366027774779","-4.42413388685694","0.431599880416676","0.280210343498856","0","2868.57297861897","-1421.78653882497","64"
"36","-1.44444444444444","-5","0.2","0.2","NaN","-1.93661842757503","-4.42466682874173","0.431570825901468","0.280216671036246","0","2868.57299499927","-1421.78654701511","8"
"37","-1.88888888888889","-3.66666666666667","0.2","0.2","NaN","-1.93674589391132","-4.42349634657672","0.431613311481223","0.280228030963034","0","2868.57299583854","-1421.78654743475","36"
"38","-2.77777777777778","-1.44444444444444","0.2","0.2","NaN","-1.93681079554722","-4.42480405550876","0.431606356636296","0.280273825000235","0","2868.5730148263","-1421.78655692863","82"
"39","-3","-3.22222222222222","0.2","0.2","NaN","-1.93647211862147","-4.42336705900518","0.4316237272102","0.280197163328418","0","2868.57299934356","-1421.78654918726","41"
"40","-1.44444444444444","-2.77777777777778","0.2","0.2","NaN","-1.9364919082754","-4.42509423510885","0.431596494627767","0.280224544805568","0","2868.57301963105","-1421.786559331","58"
"41","-3","-1.44444444444444","0.2","0.2","NaN","-1.93677856844895","-4.4234981714347","0.43167451888613","0.280218777075457","0","2868.57301078362","-1421.78655490729","81"
"42","-2.11111111111111","-2.33333333333333","0.2","0.2","NaN","-1.93627203472891","-4.42195342947631","0.431619230722656","0.280187828722288","0","2868.5730936666","-1421.78659634878","65"
"43","-2.55555555555556","-2.77777777777778","0.2","0.2","NaN","-1.93649163305687","-4.42583757218409","0.43164723404937","0.280209445618247","0","2868.5730728793","-1421.78658595513","53"
"44","-2.77777777777778","-4.11111111111111","0.2","0.2","NaN","-1.93663738117973","-4.42419018349031","0.431538239973809","0.280215504266766","0","2868.57301565581","-1421.78655734339","22"
"45","-1.88888888888889","-4.55555555555556","0.2","0.2","NaN","-1.93670061322518","-4.4239896653895","0.431681507130663","0.280265831941676","0","2868.5730183029","-1421.78655866693","16"
"46","-1","-3.66666666666667","0.2","0.2","NaN","-1.93649697020436","-4.42412802044874","0.431575469172462","0.280178141378148","0","2868.57302089969","-1421.78655996533","40"
"47","-1.44444444444444","-3.66666666666667","0.2","0.2","NaN","-1.93675426723764","-4.42450701373782","0.431588194542524","0.280230790404885","0","2868.57298098368","-1421.78654000732","38"
"48","-1","-1.44444444444444","0.2","0.2","NaN","-1.93636643796226","-4.42547748082831","0.431710712413444","0.280238215817152","0","2868.5731224131","-1421.78661072203","90"
"49","-1.66666666666667","-1.44444444444444","0.2","0.2","NaN","-1.93672136746768","-4.42325223994936","0.431617115781379","0.280192711289973","0","2868.57301392499","-1421.78655647797","87"
"50","-3","-4.55555555555556","0.2","0.2","NaN","-1.936756030906","-4.42612935873186","0.43169206194685","0.280242709898288","0","2868.57306655192","-1421.78658279144","11"
"51","-1.66666666666667","-3.22222222222222","0.2","0.2","NaN","-1.93667956972538","-4.4244408875196","0.431633971424517","0.280196756243439","0","2868.57297849863","-1421.78653876479","47"
"52","-3","-1","0.2","0.2","NaN","-1.93700518797092","-4.42288945830662","0.431644132184723","0.280226346754264","0","2868.5731058337","-1421.78660243233","91"
"53","-1.44444444444444","-4.55555555555556","0.2","0.2","NaN","-1.93691530977561","-4.42487912466812","0.431581389462324","0.280233850164102","0","2868.57299703449","-1421.78654803273","18"
"54","-1.22222222222222","-5","0.2","0.2","NaN","-1.937100572081","-4.42629542344917","0.43158215599497","0.280228568229444","0","2868.57305537406","-1421.78657720251","9"
"55","-1.88888888888889","-4.11111111111111","0.2","0.2","NaN","-1.93667506915993","-4.42522887885625","0.431571723548178","0.280155199848184","0","2868.57306315116","-1421.78658109106","26"
"56","-1.44444444444444","-1.88888888888889","0.2","0.2","NaN","-1.93748895383135","-4.42610897792333","0.431634868411619","0.280206656862269","0","2868.57314615025","-1421.78662259061","78"
"57","-1.88888888888889","-1.88888888888889","0.2","0.2","NaN","-1.93688060798079","-4.42481583068522","0.43159539852906","0.28023738256581","0","2868.57298875896","-1421.78654389496","76"
"58","-1.22222222222222","-2.77777777777778","0.2","0.2","NaN","-1.93674138639163","-4.42668866506207","0.431785607396232","0.280215304167231","0","2868.57323234755","-1421.78666568926","59"
"59","-2.11111111111111","-4.11111111111111","0.2","0.2","NaN","-1.93673616034527","-4.42367810863162","0.431685464683837","0.280206174450178","0","2868.5730068384","-1421.78655293468","25"
"60","-2.33333333333333","-4.11111111111111","0.2","0.2","NaN","-1.93661059710734","-4.42503447694239","0.431623330588321","0.280239699016519","0","2868.57299489335","-1421.78654696215","24"
"61","-3","-2.77777777777778","0.2","0.2","NaN","-1.93679527036592","-4.42536428719259","0.431550080818153","0.280212621272998","0","2868.57302128198","-1421.78656015647","51"
"62","-1.44444444444444","-3.22222222222222","0.2","0.2","NaN","-1.93663601335466","-4.4242691709692","0.431587974628524","0.280202813052559","0","2868.57298410116","-1421.78654156606","48"
"63","-1.22222222222222","-1.88888888888889","0.2","0.2","NaN","-1.93654140119123","-4.42351543988599","0.431527632867158","0.280231583411611","0","2868.57304131409","-1421.78657017252","79"
"64","-2.55555555555556","-5","0.2","0.2","NaN","-1.93673037213327","-4.4249833072515","0.431603881478865","0.280244893342029","0","2868.57298868147","-1421.78654385622","3"
"65","-2.77777777777778","-2.77777777777778","0.2","0.2","NaN","-1.93696073258509","-4.42538694229528","0.431667743944866","0.280247869963818","0","2868.57301401972","-1421.78655652534","52"
"66","-1","-4.55555555555556","0.2","0.2","NaN","-1.93677154628149","-4.42537595832266","0.431623983819864","0.28027498427042","0","2868.57302867677","-1421.78656385387","20"
"67","-2.33333333333333","-1.44444444444444","0.2","0.2","NaN","-1.93674097966154","-4.42463095743354","0.431625066504612","0.280223444298385","0","2868.57297177804","-1421.7865354045","84"
"68","-1.88888888888889","-2.77777777777778","0.2","0.2","NaN","-1.93661330881023","-4.42379296411979","0.431617945677835","0.280179884597704","0","2868.5729985012","-1421.78654876608","56"
"69","-2.55555555555556","-4.11111111111111","0.2","0.2","NaN","-1.93654157101519","-4.42503595287326","0.431783765308666","0.280159934572797","0","2868.57318667247","-1421.78664285171","23"
"70","-2.33333333333333","-4.55555555555556","0.2","0.2","NaN","-1.93707423984756","-4.42528862597227","0.431745426748586","0.280344003425417","0","2868.57328967794","-1421.78669435445","14"
"71","-3","-3.66666666666667","0.2","0.2","NaN","-1.93651682684807","-4.42548907895405","0.431748948527321","0.280254267221785","0","2868.57313204036","-1421.78661553566","31"
"72","-2.55555555555556","-3.22222222222222","0.2","0.2","NaN","-1.93669807553703","-4.42375333196412","0.431623807382198","0.280204841270608","0","2868.5729829063","-1421.78654096863","43"
"73","-1.22222222222222","-4.55555555555556","0.2","0.2","NaN","-1.93667610357309","-4.42535661522542","0.43179663601938","0.280142458764014","0","2868.57323745474","-1421.78666824285","19"
"74","-1.66666666666667","-3.66666666666667","0.2","0.2","NaN","-1.93650267871398","-4.42133946125756","0.431624445783551","0.280157985771823","0","2868.57319915904","-1421.786649095","37"
"75","-1.66666666666667","-5","0.2","0.2","NaN","-1.93683814982511","-4.42465476394039","0.43167645189218","0.280218580912164","0","2868.57298949336","-1421.78654426216","7"
"76","-1.22222222222222","-2.33333333333333","0.2","0.2","NaN","-1.93654671376509","-4.42450915036648","0.431626967195021","0.280231349241608","0","2868.57298368207","-1421.78654135652","69"
"77","-1.88888888888889","-2.33333333333333","0.2","0.2","NaN","-1.93655690773966","-4.42418232430806","0.431692879104528","0.280197304314457","0","2868.57300784687","-1421.78655343892","66"
"78","-1.44444444444444","-1.44444444444444","0.2","0.2","NaN","-1.93680337782631","-4.42521917466089","0.431692285061432","0.280223729166156","0","2868.57300717559","-1421.78655310328","88"
"79","-1","-2.77777777777778","0.2","0.2","NaN","-1.93662062634445","-4.42422456024137","0.431557461397513","0.2802024319478","0","2868.57300324716","-1421.78655113906","60"
"80","-1.22222222222222","-1","0.2","0.2","NaN","-1.9369556037724","-4.42542035548017","0.431674534548183","0.28022166672814","0","2868.57300779648","-1421.78655341372","99"
"81","-2.77777777777778","-5","0.2","0.2","NaN","-1.93655821426825","-4.42309378262343","0.431578370591092","0.280206750813934","0","2868.57301558449","-1421.78655730772","2"
"82","-2.11111111111111","-3.22222222222222","0.2","0.2","NaN","-1.93674089507103","-4.4250429040472","0.431661599453242","0.280211460629468","0","2868.57298699111","-1421.78654301104","45"
"83","-2.55555555555556","-1","0.2","0.2","NaN","-1.93658887764487","-4.42449196443683","0.431625858946457","0.280239264730928","0","2868.57298170024","-1421.7865403656","93"
"84","-2.55555555555556","-3.66666666666667","0.2","0.2","NaN","-1.9371036598404","-4.42759622769031","0.431506563907092","0.280346512242713","0","2868.57344060923","-1421.78676982009","33"
"85","-1.88888888888889","-3.22222222222222","0.2","0.2","NaN","-1.93673276995228","-4.42470641343607","0.431599419578301","0.280197278450093","0","2868.57298353542","-1421.78654128319","46"
"86","-2.77777777777778","-1.88888888888889","0.2","0.2","NaN","-1.93664249837819","-4.42513511816998","0.431697349733764","0.280232051080893","0","2868.57301973157","-1421.78655938127","72"
"87","-1.66666666666667","-4.55555555555556","0.2","0.2","NaN","-1.93649705093233","-4.42391096093444","0.43161177584909","0.280231456250989","0","2868.57298525635","-1421.78654214366","17"
"88","-1.44444444444444","-2.33333333333333","0.2","0.2","NaN","-1.93669448733256","-4.42502582305273","0.431645266561385","0.280207829904751","0","2868.57298506637","-1421.78654204867","68"
"89","-1.22222222222222","-3.66666666666667","0.2","0.2","NaN","-1.93672855563543","-4.42523935022969","0.431649012331619","0.28024108903007","0","2868.57299477017","-1421.78654690057","39"
"90","-3","-4.11111111111111","0.2","0.2","NaN","-1.93688315099634","-4.42518250135475","0.431722024048202","0.280236236354306","0","2868.57303815061","-1421.78656859079","21"
"91","-1.44444444444444","-4.11111111111111","0.2","0.2","NaN","-1.93716099889489","-4.42640291110123","0.431632993446232","0.2802259823107","0","2868.5730579515","-1421.78657849123","28"
"92","-1","-4.11111111111111","0.2","0.2","NaN","-1.93658520261143","-4.42728675086191","0.431452918993359","0.280303550550904","0","2868.5734696483","-1421.78678433963","30"
"93","-1.22222222222222","-4.11111111111111","0.2","0.2","NaN","-1.93649868988656","-4.42323680813081","0.431618496339794","0.280209863453546","0","2868.57299659705","-1421.786547814","29"
"94","-1","-3.22222222222222","0.2","0.2","NaN","-1.93677362590895","-4.42376229832872","0.431652360661805","0.28022681204551","0","2868.57299026114","-1421.78654464605","50"
"95","-2.55555555555556","-1.44444444444444","0.2","0.2","NaN","-1.93675753592519","-4.42459352172834","0.431568987886632","0.280249626837698","0","2868.57300147333","-1421.78655025215","83"
"96","-1.66666666666667","-2.33333333333333","0.2","0.2","NaN","-1.9365112146373","-4.42400421750178","0.431573782607986","0.280223536912369","0","2868.57299648045","-1421.7865477557","67"
"97","-1.88888888888889","-1","0.2","0.2","NaN","-1.93655215149199","-4.4221696323393","0.431580499892594","0.280245283860059","0","2868.57308511219","-1421.78659207158","96"
"98","-1.22222222222222","-1.44444444444444","0.2","0.2","NaN","-1.93715426925876","-4.42454357367815","0.431646446715395","0.28025030129521","0","2868.57305559533","-1421.78657731314","89"
