"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"41","-0.5","0.001","0.005","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.64805539803514","0.000486229479158275","0.00175901407214026","0.0859845784630317","0.00152754418054105","0.00152754418054105","-1.18190671016599","0","150.3672853185","-56.5531077322657","304"
"42","-3","0.001","0.005","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-11.6419398641059","0.000482577432539532","0.00163549755240032","0.0398936671444018","0.00633684010241869","0.00633684010241869","-1.18404918774112","0","160.871373890253","-61.8051520181418","686"
"43","-3","0.001","5e-04","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.15288440847379","0.000484474269857864","0.00173487131238276","0.0756066235251003","-0.0128759262311367","-0.0128759262311367","-1.18404052469605","0","129.12520098097","-45.9320655635004","326"
"44","-0.5","0.001","0.005","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-13.4508038503202","0.000482783690204461","0.00163567450467304","0.0391213443157547","0.00135353346412656","0.00135353346412656","-1.18403513827679","0","160.874012850042","-61.8064714980366","944"
"45","-3","0.005","0.001","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.35335085400266","0.000464290484377099","0.00172347904136238","0.014964151630386","-0.00162339541180901","-0.00162339541180901","-1.19879261333047","0","132.128909364834","-47.4339197554324","826"
"46","-5","0.001","0.001","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-6.54571942948737","0.000480997624883679","0.00173600812326803","0.308833038914996","-0.0519238178938813","-0.0519238178938813","-1.18319439365685","0","128.860472292117","-45.7997012190741","701"
"47","-0.5","0.001","5e-04","0.005","5e-04","-1.6094379124341","-1.6094379124341","NaN","-3.77955848027369","0.000479830301768836","0.00170997441040066","0.0213683372332331","-0.00263423743437376","-0.00263423743437376","-1.18344073265532","0","130.474076627025","-46.6065033865283","136"
"48","-5","5e-04","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-6.21894455081648","0.000481694024145478","0.00173721297357603","0.222735988220223","-0.0374390331025579","-0.0374390331025579","-1.1832641889078","0","128.88301051727","-45.8109703316503","1009"
"49","-5","5e-04","0.001","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.73855518854354","0.000488280519969479","0.00169282592736007","0.0513805041360855","-0.00793839129519173","-0.00793839129519173","-1.18078418035404","0","129.275404926738","-46.0071675363843","241"
"50","-3","0.005","0.005","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-7.78824795530125","0.000481295638790797","0.00173412810542032","1.05971007661086","-0.18186612191679","-0.18186612191679","-1.18288424753366","0","128.821645715398","-45.7802879307144","426"
"51","-1","0.005","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-7.9251120532737","0.000488172377263842","0.00166643791557101","0.334567288738317","0.0303313088185749","0.0303313088185749","-1.1834645959901","0","158.170204936609","-60.4545675413198","1019"
"52","-5","5e-04","0.001","5e-04","5e-04","-1.6094379124341","-1.6094379124341","NaN","-5.30564561968167","0.000480797033632188","0.00174888909056593","0.0912835463293821","-0.0146716724366492","-0.0146716724366492","-1.18373846210308","0","129.019649710895","-45.8792899284633","17"
"53","-3","5e-04","5e-04","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.92544776004846","0.000483564069267485","0.00173390837966614","0.0235990054513871","-0.00328208761271837","-0.00328208761271837","-1.18109140131654","0","130.237988607471","-46.4884593767513","386"
"54","-3","0.001","0.001","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.70890624387442","0.000508282753966167","0.00161126789835021","0.0182040396949798","-0.00292102131784639","-0.00292102131784639","-1.1750528151596","0","131.609337430691","-47.174133788361","414"
"55","-1","0.001","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.64178016384683","0.00050386257045397","0.00130204562049628","0.0151271909978189","-0.00020220905820118","-0.00020220905820118","-1.18099938218753","0","143.243460319826","-52.9911952329285","471"
"56","-5","0.001","0.001","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-6.54571942948737","0.000480997624883679","0.00173600812326803","0.308833038914996","-0.0519238178938813","-0.0519238178938813","-1.18319439365685","0","128.860472292117","-45.7997012190741","661"
"57","-3","0.005","0.005","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-3.24207710513308","0.000475248803738867","0.0017783041865051","0.0143481293578037","-0.00145277664506027","-0.00145277664506027","-1.17970440202122","0","132.427915289338","-47.5834227176846","746"
