"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"28","-2.55555555555556","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.61000809920784","-3.82839039075815","0.83457873711482","0.414740118830378","0.28007111508834","0","2832.55632910489","-1400.6532264468","383"
"29","-1.22222222222222","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.60939173868997","-3.82788719771687","0.835712228308978","0.414464644335015","0.280113641796334","0","2832.55589383535","-1400.65300881203","149"
"30","-2.77777777777778","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.60956386337182","-3.82899632648434","0.834201486429577","0.414408864882415","0.280142846109643","0","2832.55605811493","-1400.65309095182","172"
"31","-2.33333333333333","-1","-1.75","0.2","0.2","NaN","-1.63252818913621","-3.8782426902454","0.708104630566397","0.41425180876582","0.279839129128781","0","2832.67407273725","-1400.71209826298","294"
"32","-1.44444444444444","-4.11111111111111","-1.125","0.2","0.2","NaN","-1.60764196282338","-3.82630171328827","0.84107387648512","0.414477837031038","0.279971694572352","0","2832.55655352971","-1400.65333865921","328"
"33","-2.33333333333333","-1.44444444444444","-3","0.2","0.2","NaN","-1.60848470799061","-3.82510338778323","0.840965151319935","0.414579896880412","0.280189770474531","0","2832.55603824672","-1400.65308101771","84"
"34","-1","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.60875573531953","-3.82631768301711","0.836485966945311","0.414577678372088","0.280101488598512","0","2832.55592765127","-1400.65302571999","250"
"35","-1","-1.44444444444444","-3","0.2","0.2","NaN","-1.60908627390118","-3.82692833972983","0.838337982653316","0.414584576302339","0.280141986849481","0","2832.55588693435","-1400.65300536153","90"
"36","-1.22222222222222","-4.11111111111111","-1.75","0.2","0.2","NaN","-1.60849549422279","-3.82582707485321","0.837619930545064","0.414440051951014","0.280116830909877","0","2832.55593815113","-1400.65303096992","229"
"37","-2.55555555555556","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.6088001375401","-3.82784499081552","0.836291047615306","0.414432886627174","0.280210839250959","0","2832.55611797684","-1400.65312088277","183"
"38","-2.33333333333333","-4.55555555555556","-0.5","0.2","0.2","NaN","-1.6088743990881","-3.82808649710565","0.836033295174628","0.414583095056037","0.280102958636925","0","2832.5560366443","-1400.6530802165","414"
"39","-2.77777777777778","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.60882613389081","-3.82623745191315","0.838489603628884","0.414548119716909","0.28010705590743","0","2832.5558703462","-1400.65299706745","182"
"40","-3","-1.44444444444444","-3","0.2","0.2","NaN","-1.60929263121026","-3.82729792651653","0.835808113937963","0.414481319573566","0.280141670483958","0","2832.55587925356","-1400.65300152113","81"
"41","-1.22222222222222","-4.55555555555556","-1.75","0.2","0.2","NaN","-1.60886138434622","-3.82674910388994","0.838462046142174","0.414408300371586","0.280132315891218","0","2832.55591332435","-1400.65301855653","219"
"42","-1.22222222222222","-3.66666666666667","-0.5","0.2","0.2","NaN","-1.60986047374734","-3.82677604773522","0.833805385187187","0.414607592823479","0.280193225683802","0","2832.55619369919","-1400.65315874394","439"
"43","-1.22222222222222","-4.11111111111111","-2.375","0.2","0.2","NaN","-1.60921928223922","-3.82698887884539","0.837868668438179","0.414589185987216","0.280107340026277","0","2832.555900117","-1400.65301195285","129"
"44","-2.55555555555556","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.60916870856879","-3.8276722521046","0.83689725901622","0.414592674904543","0.280117461469763","0","2832.55590109222","-1400.65301244046","243"
"45","-2.55555555555556","-4.11111111111111","-1.75","0.2","0.2","NaN","-1.60939967086143","-3.8285851547466","0.837906022849226","0.414491865018324","0.280146386907871","0","2832.55591388869","-1400.6530188387","223"
"46","-2.11111111111111","-2.33333333333333","-2.375","0.2","0.2","NaN","-1.60833472281475","-3.82517127580668","0.840022354888955","0.414455787859231","0.280049619352134","0","2832.55601740802","-1400.65307059836","165"
"47","-1.66666666666667","-1.88888888888889","-0.5","0.2","0.2","NaN","-1.60892139659827","-3.82687814792457","0.838119147408394","0.414476393302544","0.280115860535906","0","2832.55585505207","-1400.65298942038","477"
"48","-3","-1","-2.375","0.2","0.2","NaN","-1.93652604663076","-4.42450723545543","-10.7665913327178","0.431474578654101","0.280217627505854","0","2874.82060151934","-1421.78536265402","191"
