"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"35","-2.5","1e-04","-3","0.2","0.2","NaN","-1.93818110002797","-4.16665208357874","-2.40460312876048e-05","0.430339094780471","0.280201411590898","0","2871.85565252663","-1420.30288815766","72"
"36","-1","-5e-05","-1","0.2","0.2","NaN","-2.02123814206955","-0.310202320016781","-0.00148420946619446","0.567917196966712","0.274028581605171","0","3111.22542851598","-1539.98777615234","120"
"37","-3","-5e-05","-5","0.2","0.2","NaN","-2.95555813166196","-5.76013883063486","-0.191725170225993","0.594401343236851","0.279937570337833","0","3202.62017545697","-1585.68514962284","16"
"38","-2","-2e-04","-4","0.2","0.2","NaN","-1.94408805705957","-4.2112877754173","-2.25645894926063e-05","0.430497663020176","0.28019341385274","0","2871.88587178875","-1420.31799778873","38"
"39","-2","-5e-05","-2","0.2","0.2","NaN","-1.70068414758507","-2.43094254933408","-0.00017003253411543","0.467553729995088","0.28021273252597","0","2941.02299917963","-1454.88656148417","93"
"40","-1.5","1e-04","-2","0.2","0.2","NaN","-2.06939744180239","-3.77017094492491","-4.77978983282085e-05","0.445494489074718","0.278305566934569","0","2883.30293229996","-1426.02652804433","99"
"41","-1.5","-5e-04","-3","0.2","0.2","NaN","-1.67478272970596","-3.80920012385524","-2.18831291375873e-05","0.451856368731089","0.28464089730048","0","2895.25720643813","-1432.00366511342","54"
"42","-1","-2e-04","-2","0.2","0.2","NaN","-1.63139106170946","-2.01467853519213","-0.000261783857574743","0.581635582769657","0.287682613296833","0","3016.40403147949","-1492.5770776341","90"
"43","-3","-5e-04","-4","0.2","0.2","NaN","-2.02464235573434","-4.83155602805371","-6.47604943345727e-06","0.431030144930335","0.281648603978623","0","2877.45506618776","-1423.10259498823","26"
"44","-3","1e-04","-5","0.2","0.2","NaN","-3.35319364844249","-4.34401678096329","-0.279774807173909","0.59198164795354","0.279983466835126","0","3201.46353965788","-1585.10683172329","21"
