a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.66666666666667,-3.22222222222222,0.2,0.2,,-1.75642330170778,-4.5139438355893,0.428434514430713,0.280358015731155,0,2861.59639351139,-1418.29824627117,47
-3,-1,0.2,0.2,,-1.75666625379956,-4.51517968103367,0.428512240848783,0.28041398497528,0,2861.59639193634,-1418.29824548365,91
-1.44444444444444,-4.55555555555556,0.2,0.2,,-1.75658601040879,-4.51444089645623,0.42857914093751,0.280407873323146,0,2861.59642334556,-1418.29826118826,18
-1.22222222222222,-5,0.2,0.2,,-1.75673456869452,-4.51487772876138,0.428495994099086,0.280371955702152,0,2861.59637800757,-1418.29823851927,9
-1.88888888888889,-4.11111111111111,0.2,0.2,,-1.75653297238417,-4.5149473000391,0.428481292972351,0.280420875401278,0,2861.59638870488,-1418.29824386792,26
-1.44444444444444,-1.88888888888889,0.2,0.2,,-1.75673965541231,-4.5145084414727,0.428455695962382,0.280291632404855,0,2861.59649222576,-1418.29829562836,78
-1.88888888888889,-1.88888888888889,0.2,0.2,,-1.75647975842052,-4.51485878773104,0.428540775137672,0.280377538001569,0,2861.59638643065,-1418.29824273081,76
-1.22222222222222,-2.77777777777778,0.2,0.2,,-1.75654968186187,-4.51384258990651,0.428430454700369,0.280376719306017,0,2861.59639825659,-1418.29824864377,59
-2.11111111111111,-4.11111111111111,0.2,0.2,,-1.75670211371769,-4.51455563546193,0.42848673899156,0.28038999568888,0,2861.59637643654,-1418.29823773375,25
-2.33333333333333,-4.11111111111111,0.2,0.2,,-1.75641035410196,-4.51386841293196,0.428385304026873,0.280385674343011,0,2861.596432326,-1418.29826567848,24
-3,-2.77777777777778,0.2,0.2,,-1.75629309649112,-4.55974577325942,0.430864181085674,0.279858734782036,0,2861.70780525027,-1418.35395214062,51
-1.44444444444444,-3.22222222222222,0.2,0.2,,-1.75648552664831,-4.51470571158592,0.428482095696047,0.28041607297147,0,2861.5963814744,-1418.29824025268,48
-1.22222222222222,-1.88888888888889,0.2,0.2,,-1.75667756719494,-4.51567199021453,0.428398816968686,0.280462491056968,0,2861.59652580241,-1418.29831241669,79
-2.55555555555556,-5,0.2,0.2,,-1.75643031963691,-4.51426499402816,0.428502528081303,0.280378381004754,0,2861.59636804193,-1418.29823353645,3
-2.77777777777778,-2.77777777777778,0.2,0.2,,-1.75663157666976,-4.51404047862598,0.428474077296074,0.280385659259864,0,2861.59638318842,-1418.29824110969,52
-1,-4.55555555555556,0.2,0.2,,-1.75641123184905,-4.51358898565242,0.428480677515399,0.280344567711615,0,2861.59640426128,-1418.29825164612,20
-2.33333333333333,-1.44444444444444,0.2,0.2,,-1.75684929110655,-4.51195394432773,0.428417861955641,0.280464383387675,0,2861.59689535054,-1418.29849719075,84
