"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"39","-1","-5e-05","1e-04","-3","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1204120","NaN","0.316734771337592","-0.644677636908234","-5.74846496282456","0.707793259447095","-1.9153994543905","-1.65938878155045","0.00197424556138375","0.00237008531366176","0.00246176605335974","0.000857525636138431","-6.70402786361858","0.246768628319378","0.241365340583152","0","1962.75200820668","-940.553431150098"
"40","-2.5","-5e-04","-0.00035","-3","-2","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","727777","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"41","-1.5","-2e-04","-5e-05","-5","-2","-3","0.001","0.001","0.005","0.005","-10","0.2","0.2","883214","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1.5","-2e-04","-5e-04","-2","-0.5","-1","0.005","0.005","0.005","0.005","-5","0.2","0.2","1364764","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-1","-2e-04","-2e-04","-1","-0.5","-3","0.001","5e-04","0.001","0.001","-10","0.2","0.2","665565","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-2","-5e-04","-0.00035","-4","-2","-1","0.001","0.001","0.005","0.005","-10","0.2","0.2","885153","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"45","-2.5","-5e-05","1e-04","-2","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","326117","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-3","-0.00035","1e-04","-3","-2","-3","0.001","0.001","0.001","5e-04","-15","0.2","0.2","73481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"47","-2.5","-2e-04","1e-04","-3","-1","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","735987","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"48","-2.5","-0.00035","-0.00035","-1","-0.5","-0.5","0.005","5e-04","5e-04","0.005","-5","0.2","0.2","1231782","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","-3","-0.00035","-5e-04","-5","-2","-1","0.005","5e-04","0.005","0.005","-15","0.2","0.2","418131","NaN","-2.99434986530546","-8.70129176545002e-05","-4.37519450627828","0.000486442792597736","-1.81219932122669","-1.15122722443524","0.00153893507032954","0.00170317442506186","0.00305401148615644","0.00117487605496471","-14.9354276227624","0.215579533237934","0.961657054884124","0","2851.90857790882","-1385.13171600117"
