"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"71","-3","-0.00035","-5e-05","-4","-1.125","-2","-1","0.001","0.001","0.001","5e-04","-5","0.2","0.2","4933331","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"72","-3","-0.00035","-2e-04","-1","-1.75","-1","-1","0.001","0.001","0.005","5e-04","-5","0.2","0.2","5189306","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"73","-3","-2e-04","1e-04","-2","-0.5","-0.5","-0.5","0.005","0.005","0.005","5e-04","-10","0.2","0.2","3037361","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"74","-2.5","1e-04","-0.00035","-2","-1.75","-2","-1","5e-04","0.005","0.005","5e-04","-5","0.2","0.2","5242297","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"75","-2.5","-2e-04","-2e-04","-4","-1.75","-0.5","-0.5","5e-04","0.001","0.005","0.005","-15","0.2","0.2","2135812","NaN","-2.34441339450083","0.319717999869293","-5.20023721922653","4.90706790623607","-1.80819862189755","-4.82696437193702","-1.64970825063359","0.0106766442606409","-0.0111756482585133","0.00244303765525335","0.000855747715887964","-15.9699093954871","0.258978752817104","0.241208139740042","0","2023.90850180175","-967.991480028152"
"76","-2","-5e-05","-5e-05","-1","-2.375","-2","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","5466843","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"77","-2","-0.00035","-2e-04","-1","-1.75","-0.5","-3","0.005","0.005","0.001","0.001","-15","0.2","0.2","1245558","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"78","-2","-5e-04","-2e-04","-2","-1.125","-0.5","-0.5","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","4864803","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"79","-1","-0.00035","-5e-05","-1","-1.75","-0.5","-0.5","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","533085","NaN","0.276255467303495","0.476421066861044","-0.887843005261226","5.02157176109426","-0.547274677719603","-7.75359114624262","-1.67673706175144","0.125184626632017","0.0380864796493255","0.00243216766831195","0.000836216538753282","-17.5394867969892","0.259756799691678","0.241249222953364","0","2027.315678962","-969.695068608277"
"80","-2","-0.00035","-5e-05","-1","-1.125","-2","-1","0.001","5e-04","5e-04","5e-04","-5","0.2","0.2","4596208","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
