"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"46","-2.5","-3","-6.25","-3","-1","-1","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","86962","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"47","-2.5","-4","-10","-1.75","-0.5","-0.5","0.005","0.001","5e-04","0.001","-5","0.2","0.2","1096507","NaN","-2.69745260143712","-3.39183490386062","-9.80087139180871","0.556228629019","-1.29742973455606","-1.65547747029372","0.0013041350349739","0.000959689648227797","0.0024840331566892","0.000788769492054273","-7.08349446375874","0.218935206436187","0.241447433647631","0","1836.39586161519","-877.375357854356"
"48","-1","-2","-7.5","-3","-2","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","566320","NaN","-3.69833003837331","1.34950639017892","-8.64025535114293","-5.47223312077395","-2.05200856840961","-1.52669672129541","0.00209470989045171","0.00201458265490573","0.00241208594994154","0.000982587828729214","-4.75137445435344","0.244472442926388","0.241685820045262","0","1960.01679173257","-939.185822913044"
"49","-1.5","-4","-8.75","-1.125","-2","-3","0.001","0.001","0.001","5e-04","-15","0.2","0.2","73534","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"50","-3","-3","-10","-1.125","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1204136","NaN","-2.31430855428723","-3.55798570781244","-4.99973091764724","-1.27671112879066","-1.17584580838678","-1.64588140539604","0.00118543026809617","0.00179916865203188","0.00236803194023802","0.000908265824802816","-5.18274493605649","0.222240003122014","0.238760235624658","0","1817.62732177608","-867.991087934798"
"51","-2.5","-1","-6.25","-3","-0.5","-3","5e-04","0.001","0.005","0.005","-15","0.2","0.2","423222","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"52","-1","-5","-6.25","-3","-1","-0.5","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","578205","NaN","-2.6572054357055","-3.92002944328769","-7.03488980329163","-3.57093663290418","-1.20047789024207","-1.64240849079394","0.00120549318607133","0.00112708056485495","0.00239820591350823","0.00087148802972213","-8.37355347192796","0.215126316364605","0.240203030465716","0","1820.66162158693","-869.508237840224"
"53","-1","-3","-6.25","-3","-0.5","-3","0.005","0.005","0.001","5e-04","-10","0.2","0.2","552590","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-1","-5","-6.25","-1.75","-0.5","-1","0.001","0.005","5e-04","0.005","-15","0.2","0.2","346580","NaN","-0.571752504807317","3.10787338586283","-8.72201926099694","1.51316164359458","-2.0225699304905","-3.76561480739344","0.00214527443470513","0.0021360072466617","0.00676777947443294","-0.00814391179202065","-21.8636239000542","0.247705691258034","0.262782567991557","0","2062.97147990816","-990.663167000841"
"55","-1.5","-5","-10","-2.375","-1","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","27004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
