"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"11","-2.55555555555556","-3.66666666666667","-0.5","-2","-0.5","0.005","0.001","5e-04","0.005","-15","0.2","0.2","268933","NaN","-2.177851833114","-1.84772782781917","0.180787210176214","-1.25866816689915","-1.54793534056819","0.00180871879004616","0.000850530804991545","0.00243013409612663","0.00101222224913981","-15.8937335981768","0.223069997561365","0.241782101268195","0","1851.60019781685","-888.117723874664"
"12","-2.33333333333333","-1","-0.5","-0.5","-1","0.005","0.001","0.001","0.005","-5","0.2","0.2","1037994","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-1.66666666666667","-3.66666666666667","-3","-1","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","183537","NaN","-2.85342937807809","-6.09496728299527","0.743169318593284","-1.44072937410505","-1.74814130095923","0.000962873438716856","0.000629394457250178","0.00236627663688728","0.000920680558984575","-11.5492465797835","0.226240417334541","0.240361325115713","0","1853.91236729003","-889.273808611252"
"14","-1.66666666666667","-2.33333333333333","-1.75","-0.5","-0.5","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","400267","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-1.88888888888889","-5","-1.75","-2","-3","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","81206","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-3","-5","-1.125","-0.5","-3","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","82301","NaN","-2.43234475045979","-2.9508434468241","-1.17803818931804","-1.04181932457301","-1.67316572363938","0.00153413906942072","0.000875711036029941","0.00225160231488349","0.000802919132612262","-16.4337972880441","0.218517625650195","0.256123587450581","0","1840.22382833946","-882.429539135969"
"17","-1","-5","-0.5","-1","-3","0.005","0.001","0.001","5e-04","-10","0.2","0.2","428410","NaN","-2.39358269434812","-4.17637568691947","3.57448741353152","-1.48891200209385","-3.59863076548683","0.000773309072583323","0.00082643727455344","0.0023415277613159","-0.00268385637297733","-13.1387618652865","0.225850833485097","0.25770827214169","0","1957.74729648033","-941.191273206403"
"18","-1.88888888888889","-1","-1.125","-2","-1","0.005","5e-04","0.001","0.001","-10","0.2","0.2","537396","NaN","-2.42913441838833","-2.63123876671505","1.99040537618367","-1.32164371333243","-1.65460996362395","0.00148698018383519","0.00098259561465663","0.00245900708187812","0.00088594245108305","-9.10229199169409","0.2212919592352","0.240842746348737","0","1841.40573351546","-883.02049172397"
"19","-1.88888888888889","-3.22222222222222","-1.125","-0.5","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","776846","NaN","-2.07496895737314","-1.62642101059287","0.485639912737037","-1.29259856354267","-1.48341919644121","0.00203020170509647","0.00063930313797317","0.00254360895154179","0.00069756713418026","-7.43788621219077","0.223339936729821","0.244228315946152","0","1869.7188020608","-897.177025996637"
"20","-1.44444444444444","-1.44444444444444","-2.375","-1","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","875188","NaN","-2.68770869295165","-1.46612431972602","-4.15090125272736","-1.55931667387233","-1.58394674470948","0.00196833952283941","0.000749348440729865","0.00218260743470159","0.000973230288028414","-3.39142491287559","0.225631488677934","0.240931099631513","0","1893.66684795149","-909.151048941982"
