"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"40","-3","-2e-04","-2","-1.75","-2","-1","5e-04","0.001","5e-04","0.005","-5","0.2","0.2","1234086","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","-2","1e-04","-5","-1.125","-2","-3","0.001","0.005","0.005","0.005","-5","0.2","0.2","1356023","NaN","-2.31538815652799","-0.00018844514591778","-3.00604086522263","-1.65873900474937","-1.09849176091008","-4.64858437500863","0.00132605479924222","0.00180672040859692","-0.00344717820313393","0.00549639479042636","-5.58672332607057","0.212135355566518","0.272096388211357","0","1925.97454292428","-922.164698508898"
"42","-2","1e-04","-3","-3","-2","-3","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","618823","NaN","-2.35535764161806","-0.000190735713558371","-3.57276060225369","-3.79470989860681","-1.04746316344337","-1.78496743406241","0.00118051443914437","0.00200078922341332","0.00190423109939938","0.00173225360752165","-9.08491127396606","0.211585771538808","0.250574953737291","0","1825.26861981373","-871.811736953622"
"43","-2","1e-04","-1","-3","-0.5","-0.5","0.005","0.001","0.001","5e-04","-10","0.2","0.2","539498","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-2","-5e-05","-1","-0.5","-1","-0.5","5e-04","0.005","0.005","0.005","-5","0.2","0.2","1354993","NaN","-2.505328329893","-0.000177963423682608","-0.627744524663782","-0.177588906016761","-0.84134790260173","-0.880321762479403","0.00171059397471435","0.00232397006564284","0.00330463647608796","0.00125394346731922","-4.61208724194949","0.260585895835449","0.263269034304199","0","2178.89638740863","-1048.62562075107"
"45","-1.5","-0.00035","-5","-0.5","-2","-1","0.001","0.001","0.005","0.005","-5","0.2","0.2","1341134","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-2","-5e-05","-3","-3","-0.5","-1","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","593818","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"47","-2.5","-5e-04","-2","-1.125","-1","-1","5e-04","0.005","0.001","0.005","-10","0.2","0.2","846702","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"48","-3","-5e-04","-1","-1.125","-0.5","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","871726","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","-2","-0.00035","-5","-2.375","-2","-3","0.005","0.001","0.005","0.005","-10","0.2","0.2","888883","NaN","-2.77755225670798","-4.90803618379792e-05","-4.3906484318313","-2.91698737220994","-1.22348162775583","-1.64062569749472","0.00112228349463903","0.00137281492358024","0.00207779433288459","0.00177064986506296","-12.5577983566138","0.212765892025052","0.244122201860698","0","1848.13710355139","-883.245978822453"
"50","-1","-0.00035","-3","-2.375","-2","-0.5","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","32060","NaN","-2.23380491608074","-0.000210309509262063","-2.62281120014627","-1.37062133219619","-1.13461701138382","-1.7627585896908","0.00142161388765694","0.00180270193268352","0.00230147076336985","0.000865114664491326","-13.2762454224973","0.21241495460034","0.24240290920749","0","1806.14177124623","-862.248312669876"
"51","-2.5","-0.00035","-3","-2.375","-1","-3","0.005","0.001","5e-04","0.001","-10","0.2","0.2","636432","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-2","-5e-05","-4","-3","-1","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","814418","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"53","-2.5","-0.00035","-2","-0.5","-1","-0.5","0.005","5e-04","5e-04","5e-04","-15","0.2","0.2","16207","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","-3","-5e-04","-2","-1.75","-1","-0.5","0.001","0.005","0.005","0.001","-5","0.2","0.2","1208451","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","-2","-0.00035","-1","-1.75","-1","-0.5","0.005","0.001","0.001","5e-04","-15","0.2","0.2","83483","NaN","-1.50950392006869","-0.000478719961392405","-0.997825244477556","-1.75252593347129","-1.00059098231202","-0.500485576340219","0.00151952301272442","0.00216821245477039","0.00294902649428032","0.00129713168318482","-14.9994950750248","0.248035643816378","0.338483175851987","0","2290.81271001825","-1104.58378205588"
"56","-2.5","-5e-04","-3","-1.125","-1","-3","0.001","5e-04","0.001","0.005","-15","0.2","0.2","361052","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57","-1","1e-04","-4","-1.125","-0.5","-0.5","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","50425","NaN","-2.20034682706022","-0.000200304572585457","-2.74153624913448","-0.455509385145263","-1.13099194031298","-1.64627741599671","0.00142242745065821","0.00159328209598712","0.00221820833002121","0.000995235107975712","-12.9673564988139","0.212172197655451","0.240683775240668","0","1803.13490721515","-860.744880654332"
