"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"41","-2.5","-0.00035","-3","-2.375","-2","-1","0.005","0.001","0.001","0.001","-15","0.2","0.2","232682","NaN","-1.11311213423964","-1.91645537634291","0.526011192445081","-3.80131494550998","-1.91345106795156","-1.65319635971807","0.0019529721626713","0.00232926336181147","0.00243016094539548","0.000851591257895232","-14.8572776547499","0.246017886804956","0.241176657895243","0","1962.14180569968","-940.248329896598"
"42","-2.5","-2e-04","-4","-0.5","-0.5","-1","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","59912","NaN","-2.37624343953603","-2.89912890357534","-0.000123422984959854","-0.733479191307755","-1.38648173095605","-1.38433954697981","0.00157955641847803","-0.00160263943751637","0.00320592863018551","0.000417965073817302","-14.3355592804054","0.236092300360738","0.246358580531024","0","1946.40857056452","-932.381712329019"
"43","-2","-5e-04","-2","-0.5","-1","-1","0.005","0.005","0.001","0.001","-5","0.2","0.2","1161828","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"44","-1","-5e-04","-5","-0.5","-0.5","-0.5","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","933630","NaN","-1.07579327963672","-3.8809619219589","0.490600320028397","-1.63381115172464","-1.89121151379675","-1.66257723330967","0.00194934684266382","0.00234807220746573","0.00247172961306027","0.000846662995442283","-4.70801897027181","0.245564062442203","0.241366060093813","0","1961.15886871039","-939.756861401951"
"45","-3","-5e-04","-1","-2.375","-0.5","-1","0.001","0.001","5e-04","0.001","-15","0.2","0.2","177726","NaN","-2.39085211409384","-0.0516112511859672","-0.00375884711035271","-1.91399625745818","-1.19093968345515","-1.59364062609882","0.00190336421595296","0.00257577251626034","0.00277119042438141","0.000640600155452745","-14.683240103049","0.245774759088807","0.231570441300733","0","1976.18395741615","-947.269405754832"
"46","-1","-5e-04","-2","-0.5","-1","-3","0.005","0.001","0.001","0.005","-10","0.2","0.2","839330","NaN","-1.09545121114058","-2.58371299971944","0.502920276867059","-0.719964492369545","-1.95294035011188","-1.68104351194657","0.00200774475978515","0.00228308129893182","0.00246083517651007","0.000836857659506267","-9.14784316520726","0.24571498601651","0.240846224956063","0","1961.5001622535","-939.92750817351"
"47","-2.5","-5e-05","-5","-3","-0.5","-0.5","0.001","5e-04","0.005","0.005","-15","0.2","0.2","415642","NaN","-2.41513121408559","-1.9094926264231","3.4638300292423","-3.5688298134695","-1.91484580857498","-3.91417245458292","0.00198710499190349","0.00236073108927712","0.0020885131306255","-0.00786898101897063","-11.3802625212383","0.249248028694996","0.262008832221871","0","2063.52388391938","-990.939369006451"
"48","-3","-5e-05","-2","-1.125","-2","-0.5","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","21091","NaN","-3.28978601999105","-1.08884376449286","-0.000779456852566832","0.162546360425763","-2.8571782246545","-1.58572408564388","0.00278513427075448","-0.00508221454236322","0.00248132147389727","0.000828294250917103","-15.3928206799259","0.246005258659628","0.242015960925025","0","1957.94482432992","-938.149839211717"
"49","-3","-0.00035","-5","-3","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","308756","NaN","-3.01123402487184","-4.98598842764768","0.00021234472206888","-3.71215303461983","-0.496322724005711","-1.51988978306691","0.00159875632965811","0.00201549714141664","0.00263961761784825","0.000988366575032197","-10.4618345346368","0.296047007528521","0.241442445838965","0","2164.17934223825","-1041.26709816589"
"50","-1.5","-0.00035","-1","-1.125","-1","-0.5","5e-04","0.001","0.005","5e-04","-5","0.2","0.2","1034234","NaN","-0.435249410573501","-0.714400580631914","0.618105625921987","-1.05650561622527","-1.95136615961539","-1.65893605652079","0.00199040812080189","0.00234012994097032","0.00246456453292469","0.000835626140445537","-4.61530102039503","0.246341444002133","0.241410274475657","0","1963.82588260613","-941.090368349822"
"51","-1.5","-0.00035","-2","-0.5","-0.5","-1","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","88084","NaN","-1.49830860227202","-3.41679705310041","0.000743237363651787","0.494244224653729","-0.50230180023529","-3.85395866797699","0.00162655693984825","0.00170922674761864","0.00994733469570868","-0.00898878013346344","-15.5302159586907","0.251981588379665","0.262886420674768","0","2081.5962569226","-999.975555508057"
"52","-1.5","-5e-05","-2","-2.375","-2","-3","0.005","5e-04","0.001","0.005","-10","0.2","0.2","821469","NaN","-2.22611532699022","-4.57218672246095","3.05928714271389","-4.24556117094213","-2.06834879827506","-1.67438992339401","0.00200597972397023","0.00241032368000589","0.00246862669391658","0.00083530192508235","-9.37023930188396","0.24781613238906","0.241020886124381","0","1970.23599594083","-944.295425017176"
"53","-1","-2e-04","-3","-1.125","-1","-0.5","0.005","0.001","0.001","5e-04","-10","0.2","0.2","539190","NaN","-0.0648811401895655","0.302808844392198","0.790044198262821","-1.11225880230707","-1.9730933766427","-1.64516489363237","0.0019858098886135","0.00236369196766431","0.0024403779781654","0.000864670469068943","-11.0536386215444","0.246585699842239","0.241062176613156","0","1966.44591542743","-942.400384760476"
"54","-1.5","-2e-04","-2","-3","-1","-3","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","135714","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"55","-2.5","-5e-05","-5","-2.375","-1","-0.5","0.001","0.005","5e-04","0.001","-15","0.2","0.2","195767","NaN","-2.88829626625846","-6.87203951161037","7.42276386116547e-05","-4.11141932575919","-1.3558038781534","-1.91186968215038","0.000671352994332988","0.00120106042753046","0.00474692764454698","0.000604500659145063","-11.8387755165203","0.220503625692917","0.250987431169953","0","1887.97055765726","-903.162705875388"
"56","-1","-5e-04","-3","-1.125","-0.5","-1","5e-04","0.001","0.001","0.005","-10","0.2","0.2","830430","NaN","-0.95375611734795","-2.86226378077855","0.001420349578075","-0.600824909891414","-0.490497713447785","-1.07419141001688","0.00181597355268605","0.00174113836362622","0.00269966868219545","0.00127065584601828","-10.0269013571768","0.291549868343843","0.255182926502663","0","2221.77119489506","-1070.06302449429"
"57","-2.5","-5e-05","-2","-1.125","-2","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","1339217","NaN","-2.78624667415733","-2.51528982488156","0.000119173592323967","0.0142379241554799","-1.43091428115193","-3.3082999998653","0.0015701256375785","0.00110679184220395","0.00514885402712743","-0.00287167814032877","-5.02898819252635","0.214842346071911","0.258115940193369","0","1922.23823089107","-920.296542492292"
"58","-2","1e-04","-5","-0.5","-2","-0.5","0.001","0.001","5e-04","0.005","-10","0.2","0.2","786148","NaN","-2.6265053502837","-4.13931463159101","0.00020129569815021","-0.291873403565276","-1.31967619820771","-1.69171469467036","0.0013078891506057","0.000736371748780692","0.00205540544859892","0.0010863450716185","-9.67660027443555","0.216312587714864","0.249384110511367","0","1834.91905189918","-876.636952996347"
"59","-1.5","-5e-04","-2","-1.75","-1","-0.5","0.001","0.001","0.001","0.005","-5","0.2","0.2","1292829","NaN","-1.53818716200162","-1.99178528441478","2.81276783607735","-3.52266824689439","-2.01758793273811","-1.66010077564758","0.00199611649221602","0.002401944276357","0.0024607052921508","0.000852104854799461","-6.61577166134065","0.247665006911939","0.241327848807762","0","1969.9180365609","-944.136445327206"
"60","-3","-5e-05","-5","-1.75","-0.5","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","164641","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-3","-5e-04","-4","-2.375","-2","-0.5","0.005","0.005","5e-04","0.001","-15","0.2","0.2","200776","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-3","-0.00035","-4","-2.375","-2","-3","0.005","0.001","0.001","0.001","-10","0.2","0.2","686406","NaN","-3.37429908498983","-4.48431365907973","-4.94167583748506e-05","-0.320460431566698","-2.06250581690062","-1.65053092474229","0.00140781674045321","-0.000361257599314106","0.00222602295004459","0.000849228013869245","-10.3178400452088","0.238027994443558","0.242938398760459","0","1892.29348878637","-905.324171439946"
"63","-2.5","1e-04","-5","-1.125","-0.5","-3","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1261647","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
