a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,1e-04,-5e-04,-2,-3,0.2,0.2,,-2.14975126951673,-0.000234906289988521,-2.30546008640483,-0.000262597664375112,-2.66487611063383,0.217748112532488,0.239169849572369,0,1789.80353921554,-872.920384171407,397
-2.5,-5e-05,-5e-04,-5,-1.125,0.2,0.2,,-2.35015601053462,-0.00017489433865273,-4.69333229487951,0.000398755611172561,-0.841690239226056,0.213037887628755,0.242719423107247,0,1777.94416891298,-866.990699020128,1892
-2.5,-2e-04,-5e-04,-2,-3,0.2,0.2,,-2.25794435954974,-0.00019998487622396,-3.42994759618328,0.00016918322772,-0.967701328690754,0.220413813267512,0.205939505428156,0,1801.77701365393,-878.907121390603,387
-3,1e-04,-0.00035,-4,-1.75,0.2,0.2,,-2.40436194897006,-0.000166401206948208,-4.75100400041633,0.000354588668752199,-2.26264123553672,0.212931444648577,0.242310891200875,0,1778.14499120394,-867.09111016561,1421
-2.5,1e-04,-2e-04,-3,-1.125,0.2,0.2,,-2.20379611357197,-0.000216707788287487,-2.92220799859354,3.95206756353415e-06,-1.03968925563061,0.21025020080189,0.240444868328192,0,1769.43570558407,-862.736467355676,2197
-2.5,-5e-05,1e-04,-3,-1.125,0.2,0.2,,-2.15407104828339,-0.0002345180768438,-3.22101227917038,0.000185671105905429,-0.591873375512141,0.196308024442904,0.222003168948398,0,1783.77297700898,-869.905103068128,2242
-2.5,-5e-05,-5e-05,-4,-3,0.2,0.2,,-2.36127078697728,-0.000177169064454075,-3.42111114982365,8.14330135335356e-05,-0.949270255776943,0.21197791989735,0.243368158692856,0,1770.26413471833,-863.150681922803,217
-1,-2e-04,-0.00035,-3,-2.375,0.2,0.2,,,,,,,,,,,,915
-1,-5e-04,-2e-04,-3,-2.375,0.2,0.2,,-1.05792419639692,-0.00239882926013301,-2.95114359826217,0.199425176923938,-2.34657194144758,0.270987763212449,0.243313551074827,0,2065.66399066839,-1010.85060989784,930
-3,-5e-04,-5e-04,-3,-2.375,0.2,0.2,,-2.26762789006619,-0.000203130783501932,-2.8462089100173,-6.647869617746e-05,-1.95567397948603,0.212562904862627,0.252622202187497,0,1774.27437080204,-865.155799964661,876
-2.5,-2e-04,1e-04,-5,-0.5,0.2,0.2,,-2.33071030956991,-0.000188911010279958,-3.45019792382403,0.000107738415236004,-9.12618031541698,0.211685210740127,0.242687866388737,0,1771.26720118361,-863.652215155442,2612
-1.5,-5e-05,-0.00035,-4,-1.125,0.2,0.2,,-2.263254570718,-0.000199853408127307,-4.06724214967328,0.00034954080261207,-1.39551496304575,0.210202439029799,0.238057652623005,0,1773.02609461728,-864.531661872279,2044
-2,-5e-05,-5e-04,-5,-3,0.2,0.2,,-2.40253798545408,-0.000167367004133654,-4.88424565679063,0.000376175267420045,-2.74565017053553,0.213640942107666,0.243452695206653,0,1779.4097254241,-867.723477275691,18
-3,-5e-04,1e-04,-3,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1601
