a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-4,-7.5,0.2,0.2,,-2.21703775051704,-3.5412869566517,-5.19531200547274,0.214022033920899,0.242720523304754,0,1770.09124215857,-869.344631481885,59
-2.5,-5,-5,0.2,0.2,,-2.21688855323953,-3.54058315173353,-5.19461897369646,0.21403393820449,0.242745727738571,0,1770.09124297652,-869.344631890859,102
-1,-1,-10,0.2,0.2,,-2.2171061627763,-3.5387373931218,-5.19700757917367,0.213969589439414,0.242754602488673,0,1770.09120544146,-869.344613123328,25
-2.5,-3,-10,0.2,0.2,,-2.21717132477933,-3.53881336883395,-5.19605782762809,0.213996660773194,0.242733350487914,0,1770.09116472978,-869.344592767489,12
-3,-1,-6.25,0.2,0.2,,-2.21697948072717,-3.53900883538623,-5.19543054082651,0.213965613017292,0.242711241967255,0,1770.09118220374,-869.344601504469,96
-1,-4,-6.25,0.2,0.2,,-2.22933207203378,-3.53576714371196,-5.23529319015458,0.213976221675693,0.242658100405963,0,1770.12052993601,-869.359275370605,85
-2.5,-5,-6.25,0.2,0.2,,-2.21688855323953,-3.54058315173353,-5.19461897369646,0.21403393820449,0.242745727738571,0,1770.09124297652,-869.344631890859,77
-1,-4,-10,0.2,0.2,,-2.22933207203378,-3.53576714371196,-5.23529319015458,0.213976221675693,0.242658100405963,0,1770.12052993601,-869.359275370605,10
-1,-1,-8.75,0.2,0.2,,-2.2171061627763,-3.5387373931218,-5.19700757917367,0.213969589439414,0.242754602488673,0,1770.09120544146,-869.344613123328,50
-2.5,-1,-5,0.2,0.2,,-2.21744063822474,-3.54100285220286,-5.19622124509638,0.213984663661196,0.242697304989742,0,1770.0912127554,-869.344616780301,122
-1,-3,-10,0.2,0.2,,-2.21654011881328,-3.53796215983482,-5.19551858263893,0.213996516187606,0.242721419037323,0,1770.09119877331,-869.344609789254,15
-3,-4,-7.5,0.2,0.2,,-2.21760662185732,-3.54033813702992,-5.19763461695361,0.213960348479746,0.242707482727403,0,1770.09125274152,-869.344636773358,56
-2,-2,-5,0.2,0.2,,-2.21725753921765,-3.53915269359854,-5.19627340838839,0.214020047661522,0.242711993951587,0,1770.09116265983,-869.344591732515,118
-2.5,-3,-5,0.2,0.2,,-2.21717132477933,-3.53881336883395,-5.19605782762809,0.213996660773194,0.242733350487914,0,1770.09116472978,-869.344592767489,112
-1.5,-3,-7.5,0.2,0.2,,-2.21697122948045,-3.53893118118803,-5.19562109722884,0.214039427594322,0.242724515026945,0,1770.09119414653,-869.344607475865,64
-2.5,-2,-7.5,0.2,0.2,,-2.21675391063431,-3.53890241876397,-5.19510427108014,0.213991023299072,0.242673975671243,0,1770.09119787461,-869.344609339903,67
-1,-5,-5,0.2,0.2,,-2.21773133638697,-3.53888610328488,-5.19848075451517,0.213989158017269,0.242672489140281,0,1770.09128335852,-869.34465208186,105
-3,-3,-8.75,0.2,0.2,,-2.21718234749212,-3.53933477314527,-5.19572774388244,0.214012700097385,0.242738240408729,0,1770.09117091598,-869.344595860591,36
-3,-4,-6.25,0.2,0.2,,-2.21760662185732,-3.54033813702992,-5.19763461695361,0.213960348479746,0.242707482727403,0,1770.09125274152,-869.344636773358,81
-1,-2,-10,0.2,0.2,,-2.2170071831484,-3.53969760097577,-5.19580118953802,0.214006328443693,0.242733013182475,0,1770.09114750013,-869.344584152666,20
-2,-4,-7.5,0.2,0.2,,-2.20437839235277,-3.52720362250937,-5.17148336429341,0.21400771864766,0.242741795513574,0,1770.11301621837,-869.355518511785,58
