a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-2e-04,-5,0.2,0.2,,-2.33201227241074,-0.000190558288049522,-3.25673809143154,0.211885541589623,0.242773235203675,0,1759.53796746616,-864.067994135678,11
-1.5,-2e-04,-5,0.2,0.2,,-2.33223422476117,-0.000190463699350935,-3.25974001077813,0.211874803951615,0.242666925677185,0,1759.53817043032,-864.068095617759,14
-1.5,1e-04,-2,0.2,0.2,,-2.331479361615,-0.000190675796656154,-3.25554422499591,0.211873107366967,0.242688461582647,0,1759.53800515366,-864.068012979429,99
-1,-5e-05,-3,0.2,0.2,,-1.35259143820056,-0.000527316094435187,-0.899365393611179,0.277141475428966,0.250037467486546,0,2014.30911138025,-991.453566092723,70
-2.5,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,82
-2.5,-0.00035,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,57
-2,-2e-04,-2,0.2,0.2,,-2.33175525756321,-0.000190627602668068,-3.25701718691757,0.211878836635065,0.242729616231479,0,1759.53791575106,-864.067968278131,88
-2.5,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,27
-2,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,28
-2.5,1e-04,-1,0.2,0.2,,-2.33097317276739,-0.000190814359777398,-3.25366802074312,0.21190992679871,0.242697015871835,0,1759.53826189158,-864.068141348391,122
-1,-5e-04,-4,0.2,0.2,,-2.18491660855299,-0.000224125082706833,-2.66283332502046,0.214429684031061,0.243838375923719,0,1769.94824389953,-869.273132352365,30
-2.5,1e-04,-2,0.2,0.2,,-2.33280612338359,-0.000190500782663609,-3.25893100739667,0.21186964938461,0.242779255999543,0,1759.53828760693,-864.068154206062,97
-1.5,-5e-04,-2,0.2,0.2,,-2.33169305059959,-0.000190566003002057,-3.25715633829805,0.211881247984779,0.242756328723032,0,1759.537963096,-864.067991950602,79
-2.5,-2e-04,-3,0.2,0.2,,-2.33192874940419,-0.000190553376085482,-3.25733236692997,0.211852310010225,0.242714890573755,0,1759.53794098543,-864.067980895313,62
-1.5,-5e-04,-3,0.2,0.2,,-2.33181428277362,-0.000190453512999591,-3.25873472302859,0.21176595110566,0.242660597150037,0,1759.53858591389,-864.068303359545,54
-2,-2e-04,-3,0.2,0.2,,-2.33199568198753,-0.000190510555547197,-3.25640852495179,0.211922647282198,0.242755853638477,0,1759.5380043157,-864.068012560451,63
-2.5,1e-04,-3,0.2,0.2,,-2.33168735745273,-0.000190626639132499,-3.25665277924851,0.211870933481432,0.242713235414043,0,1759.53792700909,-864.067973907146,72
-2,-5e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,78
-2,-0.00035,-5,0.2,0.2,,-2.33231369406962,-0.000190371127130452,-3.25790853716294,0.21196348199717,0.242747180579771,0,1759.53819280343,-864.068106804314,8
-2.5,-2e-04,-4,0.2,0.2,,-2.33167860531101,-0.000190624020922037,-3.25668456800936,0.2118797299356,0.242731926546794,0,1759.53792038692,-864.067970596059,37
-1.5,-2e-04,-2,0.2,0.2,,-2.33141317207454,-0.000190850067832769,-3.25687651535026,0.211936136172413,0.242610210199458,0,1759.53842062637,-864.068220715784,89
-2,1e-04,-2,0.2,0.2,,-2.33208541602332,-0.000190549360844049,-3.2579329139755,0.211868645230922,0.242689286515266,0,1759.53796396694,-864.067992386069,98
-2,1e-04,-1,0.2,0.2,,-2.49281561388848,-0.000150318992836858,-3.14642248503902,0.214249864763686,0.241004684746771,0,1768.80644497912,-868.702232892162,123
-2.5,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,102
-1,-0.00035,-2,0.2,0.2,,-2.33205323941829,-0.000190511547274801,-3.25713671180661,0.21188017250973,0.242759840385346,0,1759.53794550901,-864.067983157104,85
-1,1e-04,-3,0.2,0.2,,-2.31543443298509,-0.000194026736797545,-3.16832758654644,0.211802785644787,0.242749771011897,0,1759.73171639464,-864.16486859992,75
