a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5,-7.5,-0.5,0.2,0.2,,-2.17612756164516,-3.45781057500663,-1.6404347127393,-5.22924908295094,0.213486620721495,0.24289132594014,0,1773.78984155578,-868.053733261009,553
-2.5,-3,-10,-3,0.2,0.2,,-2.1443901353716,-3.398896275406,-1.05979242405818,-5.23000543630381,0.213355621634911,0.242661480801755,0,1773.36069966818,-867.839162317212,12
-1,-2,-6.25,-1.125,0.2,0.2,,-2.14425059149585,-3.4029184368031,-1.05841560477597,-5.22627394091821,0.213296699128333,0.242752981922138,0,1773.3614570822,-867.839541024217,470
-3,-3,-6.25,-0.5,0.2,0.2,,-2.12491358344582,-3.36061562005973,-0.763531079245014,-5.23557993784254,0.213643017850132,0.24272942316294,0,1773.54067904098,-867.929152003609,586
-2.5,-3,-8.75,-2.375,0.2,0.2,,-2.14461261625414,-3.39882128780375,-1.0593293047442,-5.23090214902475,0.213383632963399,0.242728686867061,0,1773.36059999969,-867.839112482967,162
-2,-2,-7.5,-2.375,0.2,0.2,,-2.14536807592988,-3.40007968510543,-1.05988809398106,-5.23130264395809,0.213363030897485,0.242660775824092,0,1773.36073112671,-867.839178046476,193
-2,-3,-10,-2.375,0.2,0.2,,-2.14486400766632,-3.39938858965292,-1.06139449994555,-5.2307603718784,0.213374370910528,0.242730535440261,0,1773.36061360485,-867.839119285545,138
-1.5,-2,-8.75,-2.375,0.2,0.2,,-2.14469961032119,-3.39862003487672,-1.05653853949274,-5.23150555255467,0.213392904583782,0.242738728875974,0,1773.36061733571,-867.839121150974,169
-1,-4,-6.25,-1.75,0.2,0.2,,-2.18119623624533,-3.45827973128316,-1.65517963666077,-5.24129422571054,0.213224497031707,0.242706079205537,0,1773.81841954695,-868.068022256595,335
-3,-2,-8.75,-0.5,0.2,0.2,,-2.14518654713478,-3.39917436085978,-1.06381185855214,-5.23081592840642,0.213391752104824,0.242710183514873,0,1773.36064907195,-867.839137019092,541
-1,-3,-6.25,-3,0.2,0.2,,-2.15975999941555,-3.43876883718124,-1.81391707151967,-5.17671951229966,0.213700522944793,0.242824495371596,0,1774.04933266517,-868.183478815706,90
-1.5,-3,-6.25,-2.375,0.2,0.2,,-2.21012896053502,-3.52348579393494,-3.40332462427856,-5.20989322516667,0.213919134881124,0.242724270367721,0,1775.68014198432,-868.998883475281,214
-1,-1,-6.25,-2.375,0.2,0.2,,-2.14516122540708,-3.39882443577013,-1.06490310571301,-5.23051260253306,0.213389150072684,0.242730353776289,0,1773.36069530557,-867.839160135902,225
-2,-5,-10,-3,0.2,0.2,,-2.21640942888313,-3.53909862964877,-7.70491138290571,-5.19446115824974,0.214035339285497,0.242620528382078,0,1776.36148437724,-869.339554671738,3
-2,-2,-6.25,-1.75,0.2,0.2,,-2.14488159674744,-3.39531601482748,-1.06527857774856,-5.23436138649824,0.213442697028482,0.242799362468592,0,1773.36141015797,-867.839517562106,343
-2.5,-1,-5,-1.125,0.2,0.2,,-2.14476072562601,-3.39905501193908,-1.05897217856576,-5.22838329122085,0.213332032648035,0.242748210512914,0,1773.36094397992,-867.839284473081,497
-2,-1,-7.5,-0.5,0.2,0.2,,-2.14523629433205,-3.39738703234223,-1.06028571891606,-5.23327138284621,0.213345694810293,0.242725967905483,0,1773.36079941715,-867.839212191695,573
-2,-4,-8.75,-2.375,0.2,0.2,,-2.22382643689513,-3.52055671629493,-1.82426139007488,-5.3040441990444,0.21344832315745,0.242932242437466,0,1774.33305272939,-868.325338847814,158
-2,-1,-10,-3,0.2,0.2,,-2.14416999272631,-3.39910334006801,-1.05867034646514,-5.22923050336041,0.213390568257044,0.242711539420874,0,1773.36063994445,-867.839132455344,23
-2.5,-4,-10,-0.5,0.2,0.2,,-2.14468878880636,-3.39813381769803,-1.05858972240377,-5.2312013658271,0.213378919817107,0.242696445539824,0,1773.36061559676,-867.839120281497,507
-1.5,-2,-10,-1.75,0.2,0.2,,-2.14450979681124,-3.39864264290274,-1.05807729795763,-5.23079684178332,0.213401163578513,0.242680303620181,0,1773.36062501056,-867.839124988397,269
-2,-5,-8.75,-1.75,0.2,0.2,,-2.22088526838376,-3.54302157700756,-4.27506997000453,-5.21416572998547,0.213905934123274,0.242751902272926,0,1776.07562832395,-869.196626645094,278
-3,-1,-5,-1.75,0.2,0.2,,-2.14478901632432,-3.39929127686188,-1.06116167025389,-5.23055860739274,0.213403048733165,0.242707927925825,0,1773.36060466381,-867.839114815025,371
-2,-1,-6.25,-0.5,0.2,0.2,,-2.14523629433205,-3.39738703234223,-1.06028571891606,-5.23327138284621,0.213345694810293,0.242725967905483,0,1773.36079941715,-867.839212191695,598
-1.5,-1,-5,-0.5,0.2,0.2,,-2.15106200340043,-3.42343495650398,-1.38647690909874,-5.23090875363125,0.213382689311442,0.242881167179128,0,1773.55138102575,-867.934502995994,624
-2.5,-5,-6.25,-0.5,0.2,0.2,,-2.14438491612977,-3.39935806967976,-1.06066083701728,-5.22958726832225,0.213403514619499,0.242758118348353,0,1773.36065688758,-867.83914092691,577
-1,-3,-10,-1.75,0.2,0.2,,-2.09660964935533,-3.31121384373863,-0.745980157627987,-5.17898217901165,0.213366533745042,0.242518900347119,0,1773.74540045213,-868.031512709186,265
-1.5,-4,-6.25,-3,0.2,0.2,,-2.21952445544148,-3.54546828924605,-4.97792768124262,-5.20794217802734,0.214075243896289,0.242758657422086,0,1776.22268232444,-869.270153645337,84
-3,-1,-6.25,-1.75,0.2,0.2,,-2.14478901632432,-3.39929127686188,-1.06116167025389,-5.23055860739274,0.213403048733165,0.242707927925825,0,1773.36060466381,-867.839114815025,346
-3,-4,-7.5,-1.125,0.2,0.2,,-2.14454243503015,-3.39843037150622,-1.05843773165965,-5.23081374324583,0.213393415259777,0.242727624122896,0,1773.36059546478,-867.839110215509,431
-1.5,-2,-8.75,-3,0.2,0.2,,-2.21677635855896,-3.53923846436073,-7.44561201074046,-5.19555206601184,0.213991614145706,0.242756550575377,0,1776.35821508183,-869.337920024035,44
-2.5,-4,-8.75,-1.125,0.2,0.2,,-2.14420295840324,-3.39769776735208,-1.05876109869056,-5.22884942288676,0.213434342916472,0.242663909528058,0,1773.36083321083,-867.839229088532,407
-2.5,-5,-7.5,-3,0.2,0.2,,-2.14207598031116,-3.4025305253575,-1.07083675040297,-5.21276767201353,0.213292352727809,0.242843466381975,0,1773.36773132422,-867.842678145229,52
-1,-5,-5,-3,0.2,0.2,,-2.12769249222204,-3.29741447253992,-1.15431514380106,-5.26538123607706,0.214082509633452,0.243812542716315,0,1773.71659712843,-868.017111047332,105
-1,-1,-8.75,-0.5,0.2,0.2,,-2.14430174238827,-3.39900558318215,-1.05793608291866,-5.23115121344725,0.213349828648088,0.242664039287956,0,1773.36077885069,-867.839201908466,550
-3,-5,-8.75,-1.75,0.2,0.2,,-2.14484108336714,-3.39851023310661,-1.06401708143062,-5.23114720740876,0.213393952898023,0.242788946371519,0,1773.36074311665,-867.839184041442,276
-2.5,-4,-7.5,-1.125,0.2,0.2,,-2.14420295840324,-3.39769776735208,-1.05876109869056,-5.22884942288676,0.213434342916472,0.242663909528058,0,1773.36083321083,-867.839229088532,432
-1.5,-2,-7.5,-1.125,0.2,0.2,,-2.14988109375556,-3.4070943144553,-1.04204616449425,-5.23939009155467,0.213629467421502,0.242849607114119,0,1773.36788601333,-867.842755489785,444
-3,-1,-7.5,-1.75,0.2,0.2,,-2.14478901632432,-3.39929127686188,-1.06116167025389,-5.23055860739274,0.213403048733165,0.242707927925825,0,1773.36060466381,-867.839114815025,321
