a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,1e-04,-5,-2.375,0.2,0.2,,-2.43684574779198,-5.28634396576284,0.000809083960395278,-0.535622091452966,0.217775459544552,0.242651867623591,0,1795.39324708037,-878.855436023306,149
-2,-0.00035,-1,-2.375,0.2,0.2,,-2.22744704714738,-3.63938778729856,0.000840170693347855,0.47809174741491,0.217819574422945,0.243432153333354,0,1794.64239586813,-878.480010417184,233
-3,1e-04,-3,-2.375,0.2,0.2,,-2.33164518259956,-4.10540906691679,0.000810710752061682,-0.0803185660692903,0.217362426126937,0.242679839684627,0,1792.55999956679,-877.438812266514,196
-1,-5e-04,-5,-1.125,0.2,0.2,,-2.38927789288554,-4.54722808245521,0.000800081035649205,-0.364624045031579,0.217345314190505,0.242762916196943,0,1793.30129397831,-877.809459472276,380
-2,1e-04,-4,-2.375,0.2,0.2,,-2.35132633221706,-4.27722544580347,0.000809444796984013,-0.14700282878042,0.217312959353488,0.242618525291942,0,1792.66717266671,-877.492398816477,173
-2.5,-5e-04,-2,-1.125,0.2,0.2,,-2.46370279007243,-4.46264615985632,0.000705139717485782,-1.05598968724442,0.217822642131069,0.242626271846194,0,1795.82727583291,-879.072450399576,452
-1.5,-5e-04,-1,-0.5,0.2,0.2,,-2.05172880621436,-3.51287680031616,0.000952701268513469,1.51396437016062,0.219685500623674,0.242790486338016,0,1803.05530970715,-882.686467336692,604
-3,-5e-04,-3,-1.125,0.2,0.2,,-3.0329882876243,-5.29593800937731,0.000275481804343598,-1.32376951671255,0.228664068927215,0.241859598048261,0,1842.7636184112,-902.540621688721,426
-2,-2e-04,-2,-2.375,0.2,0.2,,-2.00270808038692,-3.40737196911306,0.00112206473954303,0.71856789324439,0.219287437699802,0.24286312630686,0,1801.44646858446,-881.882046775349,213
-2,-2e-04,-5,-3,0.2,0.2,,-2.52999120982791,-4.61704962496071,0.000652417894735263,-2.45740852956393,0.218958985512467,0.243154294419527,0,1802.11709141622,-882.217358191228,13
-1,-5e-04,-3,-1.75,0.2,0.2,,-2.2985801671468,-2.56404293603263,0.000569215397023326,-1.64687710486088,0.223528100343202,0.242513211536864,0,1828.69438581186,-895.506005389051,305
-1,-2e-04,-1,-1.75,0.2,0.2,,-2.49347452465937,-4.25579053113318,0.000652149036740184,-1.86636317609227,0.2180245874912,0.241338789134083,0,1800.16336597123,-881.240495468735,365
-2,-2e-04,-5,-1.75,0.2,0.2,,-2.39688242183028,-5.37370368269226,0.000858537707759221,-0.0828858071850292,0.218891587836995,0.244350777111877,0,1795.72980154111,-879.023713253677,263
-2.5,-0.00035,-2,-1.125,0.2,0.2,,-2.25437709525805,-3.79852085157431,0.00084746082912565,0.255249776638309,0.217600200735919,0.243055469022666,0,1793.38057093157,-877.849097948904,457
-2,-5e-04,-3,-1.125,0.2,0.2,,-2.24423986804083,-2.64847607895981,0.000643400422973991,-1.11781256800581,0.224720926921629,0.240402621588511,0,1821.09036358192,-891.703994274077,428
-2.5,-2e-04,-5,-2.375,0.2,0.2,,-2.54675705799803,-4.74030071687526,0.00064456225165226,-2.68858349213671,0.219649756618879,0.242908898009795,0,1802.80063621289,-882.559130589565,137
-1,-5e-04,-4,-1.125,0.2,0.2,,-2.30788248545107,-3.43843457893361,0.000724570964451059,-0.339362847496975,0.218756800556369,0.244049112322735,0,1796.24410628043,-879.280865623336,405
-1.5,-2e-04,-3,-1.75,0.2,0.2,,-1.99885582776296,-2.76167083983365,0.000894442829285606,0.779859950862068,0.220809089157485,0.244470794779026,0,1808.04897809435,-885.183301530294,314
