"","a_log","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"21","-2","-0.00035","-5","-0.5","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","105258","NaN","-2.07263696013161","-5.02481984366756","0.000199312763766087","-4.96808172128309","-3.04490308266097","0.0143244313191478","-0.0172441989154082","0.00731105127315891","-0.000573740960951059","-6.08080051702352","0.49384337494721","0.28420233150154","0","3095.76832875546","-1510.38431292417"
"22","-1","-5e-04","-3","-0.5","-3","5e-04","0.001","0.001","5e-04","-15","0.2","0.2","13805","NaN","-1.65275435381309","-1.95608118251971","6.07512261237877e-05","-1.12282635549733","-2.86649585591766","0.000599226769386825","0.00518107708177646","0.0120050745392948","-0.00121345967482871","-15.217516869613","0.50328059418438","0.288926090142033","0","3080.37357434767","-1502.68693572028"
"23","-1.5","1e-04","-5","-1","-0.5","5e-04","0.001","0.005","0.005","-5","0.2","0.2","267524","NaN","-1.86568115075052","-4.74984063915861","0.000619127770873462","-1.24069356399152","-0.489738447083467","0.00059075420077907","0.00429435299267662","0.00502793445634688","0.000309576258781837","-4.76490744820388","0.456111586217502","0.461281495345717","0","3531.28641657937","-1728.14335683613"
"24","-2","1e-04","-3","-1","-0.5","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","32448","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-3","-0.00035","-4","-1","-1","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","21906","NaN","-2.68102196973412","-3.70204527257997","-5.81967602094459e-05","-1.17721456963679","-3.32592636146205","0.000525606024766284","0.00342502210875749","0.0130997733366991","-0.0011804401373052","-13.0464635418838","0.468099735319785","0.284899921433988","0","3013.05218174955","-1469.02623942122"
"26","-1.5","1e-04","-2","-0.5","-3","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","122974","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-3","-0.00035","-3","-1","-3","0.001","5e-04","0.001","0.001","-5","0.2","0.2","224056","NaN","-2.64961509843559","-3.17179852911481","-7.95326062495072e-05","-1.73652135159848","-2.51818747861056","0.000667901673433954","0.00314538260478507","0.00776591741080099","-0.000523379127119248","-4.66510364338628","0.470540029735617","0.283338992070889","0","3041.3644424792","-1483.18236978604"
"28","-2","-5e-04","-1","-1","-0.5","5e-04","0.001","0.001","0.005","-10","0.2","0.2","166353","NaN","-2.0228968807702","-1.04793707857667","-0.000722171785207491","-0.558685142949056","-0.437148259591646","0.000660310370555685","0.00361547712810906","0.00397973549987138","0.00035109776275259","-9.96221188424768","0.495184468810167","0.90808851461171","0","4006.62998473638","-1965.81514091463"
"29","-2.5","-0.00035","-3","-1","-3","0.001","0.001","5e-04","0.001","-15","0.2","0.2","35057","NaN","-1.95462554221577","-2.53778053296834","-0.000147460901199373","-1.41574775107676","-3.09390635260979","0.000768382246123476","0.00260050207391226","0.0108281475342631","-0.00130135831935987","-14.4647668594689","0.445567787882095","0.278911048237087","0","2972.40984446717","-1448.70507078003"
"30","-1","-5e-04","-1","-2","-1","0.005","0.005","0.005","0.005","-10","0.2","0.2","181605","NaN","-0.034673423781239","-2.90789216918879","0.445332327009022","-3.14547887957399","-5.47214109313388","0.00154866075164587","0.0197450506429277","0.0904918198781707","-0.0219683559737111","-4.37409768612223","0.524604433873272","0.280074388950721","0","3120.98032630037","-1522.99031169663"
