"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"35","-1","-2","-10","-2","-3","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","1145","NaN","-1.76661830893113","-4.56799095307568","-10.9148719093086","-0.851222289026953","-4.18465325994545","0.00051773118553092","0.00161447841276647","0.0319756148478861","-0.00479773837058287","-13.5939889934433","0.42241335504263","0.278757420591799","0","2901.82039089367","-1413.41034399328"
"36","-2.5","-4","-8.75","-0.5","-1","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","124407","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"37","-1.5","-4","-10","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","32759","NaN","-1.47614730375297","-4.53764843354332","-5.99922575078822","-0.646138896047617","-3.37798896152567","0.000479621225957036","0.0023765862966218","0.0153272426343707","-0.00199708988891129","-16.1475185226111","0.421830928064815","0.2828987230332","0","2892.71424036578","-1408.85726872933"
"38","-1.5","-2","-7.5","-0.5","-3","0.001","5e-04","0.001","0.001","-15","0.2","0.2","41944","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-2","-3","-5","-1","-0.5","5e-04","5e-04","0.005","0.005","-5","0.2","0.2","264238","NaN","-1.72971260205997","-1.93528125503456","-8.50039992855288","-1.27951874002011","-2.18903012392955","0.000713000677870103","0.00329732183660901","0.00731820680780785","-0.000280889874086093","-4.58286479799823","0.477555729365274","0.290501515235718","0","3067.81602309536","-1496.40816009412"
"40","-1.5","-5","-5","-2","-0.5","0.005","0.001","0.001","5e-04","-5","0.2","0.2","198854","NaN","-1.64040160385519","-4.37439356753788","-10.7252598184802","-0.685472090346241","-2.60523443015311","0.000530066252215839","0.0016758938747109","0.00837716144816757","-0.000578236431957471","-7.35922781303633","0.43392121674554","0.280917032001546","0","2924.10025833464","-1424.55027771376"
"41","-1.5","-1","-5","-1","-0.5","0.001","0.005","0.005","5e-04","-10","0.2","0.2","120249","NaN","-1.23909041755756","-2.28828234906519","-3.64654136910789","-2.83502027606563","-4.55742831857961","0.00104065636337013","0.0144041402100221","0.0400341595268852","-0.00865051040741461","-6.83822418476282","0.486014085086624","0.280049338548105","0","3030.27370024256","-1477.63699866772"
"42","-1.5","-5","-8.75","-2","-1","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","11654","NaN","-1.55036041870513","-4.00568045622946","-6.97042362613765","-0.746506902491364","-5.33348133772259","0.00056172994451421","0.00207693252525494","0.0971576392774086","-0.0048841138087155","-16.5038664874132","0.424219223683302","0.286579710900185","0","2920.80899768808","-1422.90464739048"
"43","-1.5","-4","-5","-1","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","19734","NaN","-1.58764248869537","-4.61481878453108","-6.56326349118998","-0.7266005608075","-3.8683406894565","0.000480895910173926","0.00210081116401026","0.0201347427333207","-0.00383478471743016","-17.2008194546725","0.420024330092114","0.281602467776636","0","2891.48811397297","-1408.24420553293"
"44","-2.5","-2","-7.5","-0.5","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","19817","NaN","-1.57406290445898","-4.53463033319551","-6.54005805130184","-0.713808117634632","-3.62670517898488","0.000491479246958116","0.00215390429821282","0.0177439241973947","-0.00267897683648375","-13.0781453858481","0.418627739847004","0.280879945825718","0","2891.2842289517","-1408.14226302229"
"45","-1","-3","-7.5","-0.5","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","97815","NaN","-1.56845469281857","-3.66749858736368","-6.63987682280875","-0.946975131389542","-3.00858530587324","0.000605208192980233","0.00248900333172302","0.00991427295462776","-0.00155631849143193","-5.66688830945925","0.430110616842824","0.283153209824349","0","2928.09770722767","-1426.54900216028"
"46","-2.5","-5","-7.5","-0.5","-3","0.005","5e-04","0.005","0.005","-5","0.2","0.2","265802","NaN","-1.69913949539343","-4.3814914098537","-8.47584910336742","-0.770870257072505","-2.33721796194035","0.000515651008278855","0.00183400896557214","0.00726930938860501","-0.0004075620124507","-6.29792085865107","0.421353959060272","0.287091548882713","0","2934.02170794521","-1429.51100251905"
"47","-2","-3","-10","-1","-0.5","5e-04","0.005","0.001","0.001","-15","0.2","0.2","48138","NaN","0.181170373088423","-1.9413276496787","-2.02648777059946","-1.51283981699339","-3.89959066632196","0.000611520491901163","0.0055067576798126","0.0238638020679629","-0.00433056739237053","-17.1500083365508","0.479759587553728","0.280900765676866","0","3034.33078911594","-1479.66554310441"
"48","-2","-1","-8.75","-0.5","-3","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","17173","NaN","-1.93237507081447","-3.61687110500838","-7.69260388996532","-1.12952911146786","-2.01681273568895","0.00062063991511405","0.00260351299285192","0.00634345750860826","-0.000191929613602274","-14.3762351499379","0.43824246481121","0.292770523735894","0","2971.95633008168","-1448.47831358728"
"49","-2","-4","-5","-2","-3","0.001","0.005","0.001","5e-04","-5","0.2","0.2","200358","NaN","-1.64534316202581","-4.39506163700161","-8.0419462224817","-0.766388083128935","-3.26944822129515","0.000517886829184008","0.00170240135510396","0.0152490098876969","-0.00204262589725327","-6.46557047892619","0.424690369557385","0.278782139300624","0","2908.92098719496","-1416.96064214392"
"50","-2","-1","-7.5","-2","-1","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","187198","NaN","-4.29391482054612","7.40741250854302","-9.45732111457905","-4.0310087232309","-5.60348405368201","0.00292197613715702","0.0460152494448504","0.115508197145515","-0.0231218814062299","-3.77686944484593","0.525879529186373","0.280039011473152","0","3122.61771131438","-1523.80900420363"
"51","-1","-3","-6.25","-2","-0.5","0.005","0.001","0.001","5e-04","-15","0.2","0.2","16590","NaN","-1.66663874615598","-4.80765011085311","-7.7561048912749","-0.719930716544396","-5.95071984689252","0.000469060409533439","0.00178705610164108","0.160697839714839","-0.0048407421324467","-9.0248594596457","0.42263975863966","0.288877607481383","0","2927.6639774244","-1426.33213725864"
"52","-1.5","-3","-10","-0.5","-1","0.005","0.005","0.001","0.005","-10","0.2","0.2","171639","NaN","-2.40280983626893","-3.77004724715509","-8.68685996893744","-3.37034291932809","-3.83694391697456","0.000664262611741278","0.0127279621575138","0.0249292378932623","-0.0037332506525555","-7.1651224806658","0.472123859416034","0.280591572807263","0","3011.35485811226","-1468.17757760258"
"53","-1","-2","-5","-0.5","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","243745","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-3","-4","-6.25","-2","-1","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","97206","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"55","-1.5","-1","-8.75","-2","-1","0.005","0.005","0.001","0.001","-15","0.2","0.2","49924","NaN","-1.79768886362051","-2.65941543272329","-4.86318723062712","-4.3208908699231","-3.42073754703315","0.00267833448313008","0.0408339838853247","0.0141619024262747","-0.00218586619457828","-6.67119206426443","0.479785185264812","0.28139543047707","0","3033.75382415978","-1479.37706062633"
"56","-1","-4","-6.25","-1","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","79335","NaN","-1.86131145242077","-5.80103416447367","-6.51285913463555","-1.17043410373901","-3.31621237562231","0.000285377616779306","0.00228000479036444","0.0159562588313989","-0.00231075996348266","-13.3938539799088","0.439563645751742","0.280076237210203","0","2937.64953577675","-1431.32491643482"
