"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"40","-1","-4","-5","-2","-1","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","30860","NaN","-43.0736588759273","37.8842723717097","-26.9156586822551","-6.68374225694647","-6.40781860305467","0.0361939901260562","0.608328335042233","0.254282433625178","-0.0522768096391305","-3.72195809927296","0.526163069998313","0.280187561350381","0","3122.9439900069","-1523.97214354989"
"41","-3","-3","-5","-1","-1","0.001","0.001","0.001","5e-04","-10","0.2","0.2","106361","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-2.5","-3","-6.25","-0.5","-0.5","0.005","0.001","0.005","0.005","-15","0.2","0.2","87712","NaN","-1.87650933365309","12.3431420594751","-20.9268859951599","-5.26102484153454","-6.49684037681296","0.00897751972333015","0.149925479882138","0.27560712565748","-0.0576361423034601","-9.40277868193493","0.525912333511591","0.280040800131277","0","3122.78160464187","-1523.89095086738"
"43","-1","-5","-7.5","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","154055","NaN","-1.44410623631598","-5.21721357331819","-8.94523600375117","-0.223793588665202","-2.31427335349918","0.000456391344322712","0.00153831021673712","0.00761427563129978","-0.000374596113073451","-6.70381573902436","0.467426638380089","0.291430551755969","0","3016.97788315197","-1470.98909012243"
"44","-1.5","-4","-8.75","-0.5","-3","0.005","0.001","5e-04","0.001","-5","0.2","0.2","218534","NaN","-1.65670461343874","-3.37082494886253","-8.86956674040268","-0.858387926567224","-2.2810665234711","0.000680809181537832","0.00189861610096267","0.00632892729396773","-0.000237726831989697","-4.74673340603297","0.440985550174813","0.291015075058474","0","3005.6474789732","-1465.32388803304"
"45","-1.5","-2","-5","-1","-3","5e-04","0.005","5e-04","5e-04","-10","0.2","0.2","98119","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-2.5","-1","-7.5","-2","-3","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","63072","NaN","-1.4247101826299","-4.24113595189982","-6.25894506093439","-0.644737322469928","-2.91549239625814","0.000528724166150612","0.00227371068546449","0.0111767177693632","-0.00124216221492415","-14.1655349964988","0.432730371795264","0.270479628084894","0","2909.01567873053","-1417.00798791171"
"47","-2","-1","-5","-1","-0.5","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","196748","NaN","-0.868826470968922","7.11348540748585","-16.1538692022817","-4.41619631440377","-4.12805478678459","0.00571254153546377","0.0608237208360458","0.0287230064445866","-0.00467941413716924","2.0467534101442","0.527236735875275","0.28055631344377","0","3126.23338191227","-1525.61683950258"
"48","-1.5","-4","-7.5","-0.5","-3","0.001","0.005","5e-04","0.005","-15","0.2","0.2","68934","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"49","-1","-2","-10","-2","-3","0.005","0.005","0.005","5e-04","-15","0.2","0.2","29270","NaN","-1.71171496406324","-4.56675973391308","-8.47243579801959","-0.786089924450556","-3.98781377293839","0.000508350191430355","0.00179769776539936","0.0249950521493016","-0.00434185798979845","-12.7870216394492","0.423410607404732","0.279438266445804","0","2898.71882611317","-1411.85956160303"
"50","-1","-2","-5","-1","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","194120","NaN","-1.72848457612623","-1.64165970913988","-8.25687154381706","-1.54377280827152","-2.84162045413651","0.000836763610790859","0.0041634308628108","0.0105150384378858","-0.000968083559196372","-3.45655925185075","0.489438211169252","0.284674546721909","0","3090.17888925244","-1507.58959317266"
"51","-1.5","-2","-8.75","-2","-1","0.005","0.005","0.005","5e-04","-10","0.2","0.2","120794","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"52","-1","-5","-7.5","-1","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","24180","NaN","-1.50452476205919","-3.96472624142984","-5.92112586846752","-0.817789064552913","-2.60442166518965","0.000548906019414662","0.00279719796702953","0.00924886596994752","-0.000764722651311248","-14.5295485842411","0.425333234446922","0.284973241361004","0","2919.94507117704","-1422.47268413496"
"53","-2.5","-5","-6.25","-1","-0.5","0.005","0.005","5e-04","0.005","-5","0.2","0.2","252952","NaN","-1.98968493431334","-4.28472641389086","-5.33237901206433","-1.79098488991608","-3.18308625577308","0.00048283666067843","0.00494808178984643","0.0139414031935823","-0.00154258670026619","-5.77842594875138","0.468094349185425","0.281601206824232","0","2989.69910044457","-1457.34969876873"
"54","-1","-4","-5","-0.5","-3","5e-04","0.001","0.005","0.001","-15","0.2","0.2","54360","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"55","-2.5","-1","-7.5","-0.5","-0.5","0.005","5e-04","5e-04","5e-04","-5","0.2","0.2","185572","NaN","12.9991891966459","33.4919442871556","-5.23949746220126","-6.13292385473669","-6.8423888656398","0.0202990251510873","0.354616865920494","0.392568728893188","-0.0805084379047362","4.8584676134798","0.526134564549969","0.280109945689168","0","3122.87384743528","-1523.93707226408"
"56","-2.5","-2","-8.75","-2","-1","0.005","0.001","0.001","0.001","-10","0.2","0.2","137667","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"57","-2","-2","-8.75","-1","-1","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","125418","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-3","-5","-6.25","-0.5","-3","0.005","0.001","0.005","0.005","-10","0.2","0.2","178076","NaN","-1.32915245324782","-5.48348381328124","-5.72011193703252","-0.394637380975385","-1.75493289940229","0.000393855612557264","0.00251347190627028","0.00578761731798169","-1.07232843255839e-05","-10.024060049032","0.487218059230191","0.306453780663791","0","3009.0937244068","-1467.04701074984"
"59","-1","-3","-7.5","-0.5","-1","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","68190","NaN","-2.30070293710523","-0.80759260815905","-8.87648654285486","-1.58667051355121","-2.40475270506086","0.000740604479665203","0.00551389034353686","0.0080144946671146","-0.000513261748036342","-16.3875695138586","0.515171065697952","0.288027090216611","0","3105.16396848757","-1515.08213279023"
"60","-2","-2","-8.75","-2","-1","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233293","NaN","-2.03490616872285","-3.095812239286","-6.56124198080987","-2.11650602144916","-2.49460196866363","0.000848085129625523","0.00401231571806747","0.0089436511589479","-0.000431230944103179","-4.50982732132731","0.463947414667616","0.287501344237031","0","3035.39123987427","-1480.19576848358"
"61","-2.5","-5","-10","-2","-1","0.001","0.005","0.001","0.001","-5","0.2","0.2","231002","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
