"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"21","-1.5","1e-04","-4","-3","-2","-1","5e-04","5e-04","0.005","0.005","-10","0.2","0.2","862549","NaN","-1.93106632956328","-0.000133073492037401","-3.66043868018559","-6.59627089179971","-2.06326951832462","-3.33618755643048","0.000728383306989706","0.00296578464816286","0.013157384216398","-0.00211383820354715","-6.60382339276693","0.455045632143908","0.282396414322927","0","2978.34150847397","-1448.5459151623"
"22","-1","-5e-04","-3","-1.75","-0.5","-1","0.001","0.005","0.005","0.005","-15","0.2","0.2","447805","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-2.5","-0.00035","-2","-1.125","-2","-3","0.005","0.005","0.001","5e-04","-10","0.2","0.2","551707","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","-1.5","1e-04","-3","-0.5","-0.5","-0.5","0.001","0.005","5e-04","0.001","-15","0.2","0.2","196824","NaN","-0.739259986742119","-0.00100542404104693","-2.15190271512801","-0.834759080622018","-0.543141011067555","-1.19785644226449","0.000775392309566593","0.0039760207986398","0.00514508040850364","0.00031293468182343","-15.2228080303769","0.530719928562288","0.338819746129443","0","3224.24013526968","-1571.49522856015"
"25","-2","1e-04","-1","-2.375","-2","-1","0.001","0.005","0.001","0.001","-15","0.2","0.2","243998","NaN","-1.1072524664309","-0.000695610980134991","-1.02419025440138","-2.06339146465995","-2.18425420621528","-1.40191880289679","0.00156915051148468","0.00424484699307435","0.00416915092981138","0.000152445188968289","-14.4015805046689","0.508964940979562","0.33031957960246","0","3243.70194091876","-1581.22613138469"
"26","-3","-2e-04","-1","-1.75","-1","-0.5","0.005","0.005","0.001","0.005","-15","0.2","0.2","404111","NaN","-3.30204880068597","7.67160822609614e-05","-0.561231755029328","-1.910034657074","-2.02880707972477","-2.89079413249613","0.000848552463545026","0.00752247416001093","0.0109489761599904","-0.00107718931217988","-14.4537267932143","0.512327936144195","0.280486730222905","0","3104.18873600661","-1511.46952892862"
"27","-1","-5e-04","-1","-2.375","-2","-3","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1243355","NaN","7.48095884378693","-0.000904915782864939","-2.76972873753771","12.0969364661477","-1.04256104163047","-7.66471849718487","0.000681517566855795","0.0019922377360495","-0.145829778418045","0.000578551064088236","-14.2104124029882","0.425089346352617","0.300794547504483","0","2985.20234940028","-1451.97633562545"
"28","-2.5","1e-04","-1","-3","-0.5","-0.5","0.001","0.005","0.005","0.005","-10","0.2","0.2","905122","NaN","-4.30440986595478","0.00407427251614002","-1.4800706064532","2.41391634199079","-4.68333092414394","-2.85346134157302","0.0111544697620504","-0.0129981304962717","0.0107552146801305","-0.00107448037732179","-4.14219125085888","0.481308247615067","0.28188064308687","0","3072.34637584766","-1495.54834884914"
"29","-1","-5e-04","-4","-2.375","-2","-0.5","0.005","0.005","5e-04","0.001","-5","0.2","0.2","1112030","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"30","-1.5","1e-04","-4","-3","-1","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","566924","NaN","-1.12909262889732","-0.000757213985312533","-3.87816421845579","-2.87971068260045","-0.392580813985547","-0.621900553546746","0.000546653570827929","0.00348521558955634","0.00497451955851532","0.000339907667431284","-10.2916560259128","0.438398090420762","0.395091502068906","0","3328.85427913253","-1623.80230049158"
