"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"77","-2.5","-5","-6.25","-1.125","-0.5","-3","0.005","0.001","0.005","0.005","-5","0.2","0.2","1346077","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"78","-1.5","-5","-5","-3","-1","-1","0.001","0.001","0.005","0.001","-10","0.2","0.2","733854","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"79","-2.5","-3","-7.5","-0.5","-0.5","-1","0.005","5e-04","0.001","0.001","-15","0.2","0.2","217437","NaN","-0.861523578239589","-3.35695384641955","-7.73913193061107","2.83135123083159","-0.78377203258423","-2.77753316845628","0.000612205310668324","0.00232452271057768","0.0102091375249954","-0.000108091187739393","-11.5199033177317","0.409041360611868","0.290838388289063","0","2904.94556005206","-1411.84794095134"
"80","-1","-1","-7.5","-2.375","-2","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","947075","NaN","-1.38632614878431","-2.38183623429944","-5.48192007037509","-3.35143523625173","-1.23711716784032","-2.5308671719745","0.000614717254484655","0.00480090535518124","0.00993319349953885","-0.000105672677766567","-4.01873926921201","0.470839979352761","0.287442911828673","0","3064.44741160248","-1491.59886672655"
"81","-2","-5","-5","-1.75","-0.5","-0.5","0.001","5e-04","0.001","0.005","-15","0.2","0.2","365353","NaN","-1.59651243134559","-3.90196455575637","-6.38680224037316","-1.57699286249129","-1.11125758989478","-2.04314013220239","0.00055608200933456","0.00269653385423461","0.00655614829692816","-0.000186776221206798","-14.5483991397203","0.427632367289491","0.28923465225479","0","2943.97620069586","-1431.36326127324"
"82","-1.5","-5","-10","-3","-1","-1","0.005","0.005","0.005","0.005","-10","0.2","0.2","908129","NaN","-1.62680959392118","-3.88985805620655","-4.71358260777168","-4.67039964707886","-1.70670913485205","-2.38915672677181","0.0005792112674382","0.00502395470214562","0.00904790169571778","-0.000495751497117977","-8.43577819904474","0.458389129839906","0.286460858563685","0","3004.90173974799","-1461.82603079931"
"83","-1.5","-5","-10","-1.75","-2","-0.5","0.005","0.005","5e-04","0.001","-10","0.2","0.2","656504","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"84","-1","-2","-6.25","-1.125","-2","-1","0.001","0.005","0.001","5e-04","-5","0.2","0.2","1003595","NaN","-1.17214615665925","-4.05681736773575","-5.91665744504303","0.760450104218775","-0.666383309302509","-4.38571986626397","0.000528558849243978","0.00259561046280718","0.0388609182250721","-0.00648089236466693","-7.92164812408698","0.402696064370634","0.282387899391898","0","2853.91870382404","-1386.33451283734"
"85","-3","-5","-7.5","-3","-0.5","-3","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","321926","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","-1.5","-4","-7.5","-0.5","-0.5","-1","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","59934","NaN","-1.12422591083082","-3.81855208101738","-6.15761536344178","2.13299707312076","-0.783326536444808","-2.51496169616079","0.000572016013778643","0.00272516702837261","0.00569132537741304","-0.000520488473566873","-15.3272017853728","0.405907246279106","0.287727811664395","0","2896.03110676364","-1407.39071430713"
