"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"83","-1","-1","-1.125","-2","-3","0.001","5e-04","0.005","0.005","-10","0.2","0.2","693400","NaN","-1.39163637535426","-3.83787967405534","1.27125152331817","-0.850759439761052","-3.7580053859231","0.000588181414624668","0.00176970294251712","0.0215038352231615","-0.00345777188407542","-11.7005240407402","0.407894158868646","0.281909922283521","0","2856.54118057356","-1390.77073883322"
"84","-1.66666666666667","-4.11111111111111","-2.375","-2","-0.5","0.005","0.005","0.005","0.001","-5","0.2","0.2","970627","NaN","-1.25585240335894","-2.98080358965769","1.62627599787644","-1.14759986855902","-3.40291178200805","0.000693137359896027","0.00219249396531513","0.0131961858593404","-0.00239882758401687","-5.13903754553227","0.413665143922562","0.286188748768681","0","2896.87078447233","-1410.93554078261"
"85","-2.55555555555556","-1.88888888888889","-0.5","-1","-0.5","5e-04","0.005","5e-04","0.001","-5","0.2","0.2","881473","NaN","-2.10159181533992","-1.04725392730257","2.59487768575558","-1.80859695210223","-2.74993844557224","0.0007544880763762","0.00667385905435751","0.00966427105795171","-0.000871691100251134","-5.35420039299504","0.490367330514224","0.282071896739481","0","3062.5313180395","-1493.7658075662"
"86","-2.11111111111111","-5","-3","-2","-1","0.005","0.001","0.005","0.005","-10","0.2","0.2","712505","NaN","-2.22364373263257","-3.53787448586016","-8.07724691906122","-1.94261674761798","-2.075030474935","0.000673706333368158","0.00333622133525415","0.00687375776631384","-0.000163854682891251","-5.55312989708016","0.4631092429568","0.290264230650006","0","3017.64620275718","-1471.32324992503"
"87","-1.88888888888889","-4.11111111111111","-3","-0.5","-3","0.001","0.001","0.005","0.005","-15","0.2","0.2","343026","NaN","-1.65984048244181","-3.82088099759309","-0.0369858179024394","-1.12257752822987","-3.59462756561062","0.000621709204571952","0.0021770054983088","0.0191947631843296","-0.0031959434553294","-16.5794447436183","0.407454778496681","0.281054532634041","0","2873.55702975188","-1399.27866342238"
"88","-1.44444444444444","-3.22222222222222","-1.75","-1","-3","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","747748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1.66666666666667","-1","-0.5","-1","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","743497","NaN","-1.46608454197896","-3.01770459517214","-0.0198342152717654","-0.979495256319237","-2.13435893547266","0.000639989259873832","0.00236992351148976","0.00720612483613923","-0.000275784478241566","-5.11929050986385","0.417321194661426","0.288012121683706","0","2941.0195513983","-1433.00992424559"
"90","-1.66666666666667","-1.44444444444444","-1.75","-1","-3","0.001","5e-04","0.001","0.005","-10","0.2","0.2","653287","NaN","-1.60631574684487","-3.86298019610265","-1.8174947875135","-0.802004455279428","-2.97917656864526","0.000595308212099085","0.00175286852121134","0.0122104857177865","-0.00131769115367565","-6.06442550720531","0.422299365347977","0.284018470119405","0","2905.30195605591","-1415.1511265744"
"91","-2.55555555555556","-5","-2.375","-0.5","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","391103","NaN","-1.4016235829877","-3.23419763332273","1.10781131740485","-1.03952527036363","-3.50266243847391","0.000658828893363871","0.00218174858681037","0.0152408034404426","-0.00285773775405643","-8.8216546793055","0.410825397041471","0.284535270278924","0","2871.86741557345","-1398.43385633317"
"92","-1.22222222222222","-3.66666666666667","-2.375","-1","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","182139","NaN","-1.6154011209071","-4.5527754200133","-0.717687425923444","-0.79002098668077","-4.50603350911666","0.000498649160838116","0.00147295078969196","0.0453816534621292","-0.00564008050963855","-12.2749556041092","0.410082555337592","0.282335674375655","0","2870.12467010345","-1397.56248359817"
"93","-2.55555555555556","-1.44444444444444","-2.375","-1","-0.5","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","422183","NaN","-1.7383437461286","-1.1763701218436","-1.42263699652755","-0.459187462064964","-1.91448315663452","0.000665274963225995","0.0035860939923274","0.00647485671701685","-0.000148806824878056","-8.03280127652607","0.606277957865334","0.30172320710638","0","3271.49894803869","-1598.24962256579"
"94","-1","-5","-3","-1","-0.5","0.001","5e-04","0.001","0.005","-10","0.2","0.2","656010","NaN","-1.70949215389437","-5.16788840821059","-1.43837222613207","-1.3439029208662","-1.46768939416378","0.000343584940310346","0.000401857828843432","0.00519257430774917","5.4335535497116e-05","-9.7423151887012","0.421875880945221","0.294606774676011","0","3071.90177916937","-1498.45103813113"
"95","-1.44444444444444","-4.55555555555556","-2.375","-2","-1","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","798118","NaN","-1.53901800827267","-4.18821263567634","0.342006440622097","-0.771869363114689","-3.13765556152258","0.000566778304894517","0.00175105427221419","0.0136845463345128","-0.000347227300214215","-9.11179378583959","0.407228107806617","0.287966849954521","0","2877.38517659124","-1401.19273684206"
"96","-2.11111111111111","-3.66666666666667","-3","-2","-0.5","5e-04","5e-04","0.001","0.001","-5","0.2","0.2","894035","NaN","-1.87496361601416","-2.8342666801985","1.33645916610931","-2.40580100005037","-4.6515933541724","0.000877432547322685","0.00459530819148569","0.0567945592763916","-0.00543182451854093","-4.8528550420958","0.444271112786429","0.281739538915379","0","2974.03201174842","-1449.51615442065"
"97","-3","-2.77777777777778","-1.75","-2","-1","0.005","0.001","0.005","5e-04","-10","0.2","0.2","469751","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","-1","-3.22222222222222","-1.125","-1","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","564850","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
