"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"11","-2","-3","-5e-04","-10","-1","-0.5","0.005","5e-04","0.005","0.005","-5","0.2","0.2","1331888","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","-3","-4","1e-04","-5","-2","-3","0.001","0.005","0.001","0.005","-10","0.2","0.2","849981","NaN","-4.54282594569478","1.55727323764115","4.20579819646077","-11.5870573490587","-3.2461987546526","-4.99320587772139","0.00159652676360951","0.0224579854105709","0.0641836812455002","-0.0123370993005501","-10.4211828999124","0.525508464599153","0.280081608963585","0","3128.55886769403","-1523.65459477233"
"13","-1.5","-4","1e-04","-7.5","-2","-1","5e-04","0.005","0.001","0.001","-5","0.2","0.2","1149734","NaN","-1.98288752246959","-1.65088226609258","-0.000401898616422811","-10.0392387688803","-2.37715127273743","-1.55579966830379","0.00212021972346135","-0.00107264795604706","0.00459648372678055","9.05278311502244e-05","-5.07507206449121","0.507629672043873","0.316149003166363","0","3144.66262438383","-1531.70647311723"
"14","-2.5","-4","-5e-04","-7.5","-2","-1","0.001","0.005","0.001","0.005","-10","0.2","0.2","851507","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","-2","-2","-0.00035","-6.25","-1","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","814793","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","-1","-1","-0.00035","-8.75","-2","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1224550","NaN","-15.7599353630779","6.17339739941498","5.87934605456465","-13.0292820365006","-1.86986109264546","-2.74421265793191","0.000758908255076023","0.00813708440935804","0.0098235262202619","-0.000918079056446433","-8.90233672362956","0.526113800607641","0.281476227852372","0","3153.52386645589","-1536.13709415326"
"17","-2","-3","-5e-05","-6.25","-1","-1","0.005","0.001","5e-04","0.001","-15","0.2","0.2","182963","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"18","-2.5","-2","-5e-04","-7.5","-0.5","-0.5","0.005","0.005","5e-04","0.001","-15","0.2","0.2","202142","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"19","-3","-4","-0.00035","-8.75","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","781406","NaN","-1.76922899462611","-5.3063235423887","0.00205699866169455","-10.2258230502516","-0.705710825885092","-0.984234388033173","0.000455635085011232","0.00484499858090344","0.00477452541850845","0.000237391874930814","-9.00021947974873","0.647022321521574","0.359671414905287","0","3394.43062491003","-1656.59047338033"
"20","-2","-3","1e-04","-6.25","-0.5","-1","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","104863","NaN","-1.55648913826271","-2.65864821346544","0.000247727210446999","-9.52022676861281","-0.797198553859131","-1.03032954403034","0.000731238143614444","0.00508119590581381","0.00547142288569715","0.000372073461136153","-15.1470038123848","0.521812399289476","0.393163085207771","0","3333.90825717524","-1626.32928951293"
