"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"38","-1.5","-0.00035","-5e-05","-4","-2","-1","0.005","0.001","0.005","0.005","-15","0.2","0.2","435209","NaN","-1.49614729168072","-0.0005532559354928","-3.75707138903083","0.0725836656947365","-2.00692077770433","-1.01179514449227","0.000684133477425398","0.00975209973297523","0.00503723902771691","0.000281598028270202","-15.0161997304633","0.595767539794988","1.02999214060994","0","4031.57541713487","-1975.16286949275"
"39","-1","-5e-05","1e-04","-3","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1204120","NaN","-1.02487488175403","-0.00614763103727286","-2.83753079380719","0.256471403115784","-2.18601815424274","-3.09267125739825","0.000852752780884847","0.00959644224959226","0.0123819286376044","-0.00151479420278465","-5.17745491827946","0.519529909577856","0.281372625431458","0","3133.43929869245","-1526.09481027154"
"40","-2.5","-5e-04","-0.00035","-3","-2","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","727777","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"41","-1.5","-2e-04","-5e-05","-5","-2","-3","0.001","0.001","0.005","0.005","-10","0.2","0.2","883214","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1.5","-2e-04","-5e-04","-2","-0.5","-1","0.005","0.005","0.005","0.005","-5","0.2","0.2","1364764","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-1","-2e-04","-2e-04","-1","-0.5","-3","0.001","5e-04","0.001","0.001","-10","0.2","0.2","665565","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-2","-5e-04","-0.00035","-4","-2","-1","0.001","0.001","0.005","0.005","-10","0.2","0.2","885153","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"45","-2.5","-5e-05","1e-04","-2","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","326117","NaN","-2.508467996885","0.000481469760353345","-1.96259025368028","-0.0134191009561873","-0.521387706821449","-0.55373515088666","0.000602766992624871","0.00518071833288136","0.0049448739136698","0.000359029669385912","-14.91750323385","0.546930628323156","1.30200406157911","0","4394.45404003867","-2156.60218094465"
"46","-3","-0.00035","1e-04","-3","-2","-3","0.001","0.001","0.001","5e-04","-15","0.2","0.2","73481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"47","-2.5","-2e-04","1e-04","-3","-1","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","735987","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"48","-2.5","-0.00035","-0.00035","-1","-0.5","-0.5","0.005","5e-04","5e-04","0.005","-5","0.2","0.2","1231782","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","-3","-0.00035","-5e-04","-5","-2","-1","0.005","5e-04","0.005","0.005","-15","0.2","0.2","418131","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","-3","-5e-04","-5e-04","-3","-0.5","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","335251","NaN","8.48592370774543","25.0217899162865","-43.0373235401607","13.2749380109495","-6.48111253761142","-13.2168129773012","0.0278987895231239","0.467425513841145","0.545633717948207","0.182951587623829","-6.62362252531937","0.526211415210148","0.297576811951418","0","3192.36108728729","-1555.55570456896"
"51","-3","-5e-04","1e-04","-2","-1","-1","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1066101","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-1","-2e-04","1e-04","-5","-1","-3","0.001","5e-04","0.001","0.005","-10","0.2","0.2","816365","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"53","-3","-5e-05","-2e-04","-1","-0.5","-3","5e-04","5e-04","0.001","5e-04","-5","0.2","0.2","963691","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-3","-5e-04","-0.00035","-2","-2","-0.5","0.001","0.005","0.001","0.005","-15","0.2","0.2","397901","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","-2","-0.00035","-5e-04","-5","-0.5","-0.5","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","21883","NaN","-1.9971382325028","-0.000337120400694214","-4.45338118338869","8.4822767559463e-05","-0.461428893584155","-0.462342233734928","0.000516129717309446","0.00498528504762755","0.00495411500224392","0.000355470019953223","-15.0781424360569","0.885423697602181","0.465320771308522","0","3800.96548815491","-1859.85790500277"
"56","-2.5","-0.00035","1e-04","-5","-2","-3","0.001","0.001","5e-04","0.001","-15","0.2","0.2","174482","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57","-1.5","-5e-04","-0.00035","-1","-0.5","-1","0.005","0.005","0.001","0.005","-15","0.2","0.2","403029","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-2.5","1e-04","-2e-04","-5","-2","-0.5","0.001","0.001","0.005","5e-04","-15","0.2","0.2","127572","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-1","-5e-05","-5e-04","-2","-1","-3","0.005","0.005","0.005","5e-04","-15","0.2","0.2","147270","NaN","-5.1626517973841","2.36571727795443","-2.37769944892918","0.97546311385675","-2.90546223781369","-3.97523704540805","0.00126897094287328","0.0165526663269944","0.0244437099161827","-0.0041100984659719","-4.54859946618985","0.525347474295239","0.281001922509201","0","3127.61360001696","-1523.1819609338"
"60","-2.5","-5e-05","-5e-04","-1","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","164267","NaN","-1.86405445188243","-0.000306640356062543","-0.996017095324321","-0.00173423509930289","-0.995570060304536","-3.00320045834796","0.0007721642374923","0.00396479622331551","0.0116646866019637","-0.000887181132991553","-14.9868048007218","0.952164971231858","0.289465999905744","0","3377.70117734371","-1648.22574959717"
"61","-3","-0.00035","-0.00035","-5","-0.5","-0.5","0.005","0.001","0.001","5e-04","-5","0.2","0.2","995031","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-2","1e-04","1e-04","-5","-1","-3","0.005","5e-04","0.001","0.001","-10","0.2","0.2","670123","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-3","-5e-04","1e-04","-4","-2","-1","0.005","0.005","5e-04","0.001","-5","0.2","0.2","1110226","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"64","-3","-5e-05","-5e-04","-5","-1","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","765641","NaN","-2.95234752523646","0.000326948214181778","-4.63154696314353","1.43603377266302e-05","-0.908504052739858","-2.91175308659249","0.000581326895976604","0.00214151549497677","0.011517191529921","-0.00117275015731334","-9.83415560184597","0.480900044811723","0.287815601150015","0","3053.35714624031","-1486.05373404547"
"65","-1.5","-5e-05","-0.00035","-5","-1","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","928794","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-2","1e-04","1e-04","-4","-2","-0.5","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","622748","NaN","-2.05763523719052","-0.000465833491717076","-3.87919196980285","0.00501125058806856","-2.01471245346041","-0.448284339710088","0.000286217914799481","0.00553891949675285","0.00445844042258798","0.000281328145336465","-9.89219920345799","0.58654143101282","0.517803145926355","0","3634.44281095687","-1776.59656640375"
"67","-3","-2e-04","1e-04","-5","-2","-3","0.005","0.005","5e-04","0.005","-10","0.2","0.2","804486","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"68","-1.5","-5e-05","-2e-04","-4","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1223319","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"69","-2","-0.00035","-2e-04","-5","-2","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","870058","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"70","-2","-5e-04","-5e-05","-4","-2","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","868328","NaN","-2.00156026498066","-0.000947677134809468","-3.98464343239997","-0.0292922635752022","-1.99101457930675","-0.994426045492682","0.00069005354466769","0.0114662636225072","0.00731179825311264","0.000151978044540477","-9.99540700331308","0.460260958491872","0.919610071944797","0","4007.10227182611","-1962.92629683837"
