"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"25","-2.5","-2e-04","-2e-04","-4","-3","-1","-3","0.005","5e-04","0.005","5e-04","-5","0.2","0.2","5122062","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-2","-0.00035","-0.00035","-5","-2.375","-0.5","-1","0.001","5e-04","0.005","0.005","-5","0.2","0.2","6625658","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","-2.5","1e-04","-0.00035","-2","-2.375","-2","-1","0.005","0.005","0.005","0.001","-5","0.2","0.2","6057297","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","-1","-5e-04","-5e-05","-3","-2.375","-2","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","4641580","NaN","-1.0010592915755","-0.00032495965782394","-3.2250079945469","-7.2953344099564e-05","1.4981003423072","-0.971528241868964","-5.61958258134844","0.000607039247465772","0.000380502879682468","0.00139315279020415","0.000638607212589321","-7.63831395184841","0.411722368940776","0.297610740774694","0","2945.17672592018","-1428.83853626427"
"29","-3","-5e-05","-5e-04","-3","-0.5","-0.5","-1","0.005","5e-04","5e-04","0.005","-10","0.2","0.2","3871516","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","-3","-0.00035","-2e-04","-4","-0.5","-0.5","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","543306","NaN","-2.09739500086825","-0.000394438964668066","-4.01835093137133","-0.00119005604049206","-0.16122810336672","-0.966939079686356","-3.05479426162384","0.000743465574907706","0.00403362115017775","0.0110175860502448","-0.00141296269758665","-14.7048822328639","0.50442041331414","0.280137324059764","0","3098.17971590988","-1505.34003125912"
"31","-1.5","-0.00035","-5e-04","-4","-1.75","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","5820134","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-1.5","-2e-04","-5e-05","-3","-0.5","-1","-3","0.001","5e-04","0.001","0.005","-5","0.2","0.2","6362214","NaN","-0.919836038049922","-0.000579167652685599","-2.91342456520059","-0.000112633331832409","1.03911492629737","-0.866629369489206","-3.02189231750658","0.000640185476484798","0.0015805299630757","0.0105203983839651","-0.00131831532326407","-6.6900347230942","0.446816372270122","0.282624820884823","0","2880.37987573293","-1396.44011117065"
"33","-1.5","-0.00035","-5e-04","-3","-2.375","-0.5","-0.5","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","2500884","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"34","-1.5","-2e-04","1e-04","-4","-3","-0.5","-1","0.001","0.005","0.005","5e-04","-10","0.2","0.2","2997114","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-2","-5e-05","-2e-04","-3","-1.125","-1","-3","5e-04","0.001","0.005","0.001","-10","0.2","0.2","3633443","NaN","-1.70310791291701","-0.000360962900449776","-2.2452591039407","-0.00043259830904981","-0.816257179134922","-1.59185116748944","-2.97954880392269","0.000771792794255527","0.00460939217980967","0.00816816535918115","-0.00110420991045938","-10.2557907548938","0.439489458808566","0.283171530487741","0","2967.09572962827","-1439.79803811832"
"36","-3","1e-04","-2e-04","-5","-3","-0.5","-1","5e-04","0.005","0.005","5e-04","-5","0.2","0.2","5246946","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"37","-2","-5e-04","-5e-05","-5","-1.125","-1","-3","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","3042578","NaN","-1.63683505505014","-0.000116737591285889","-7.29604959107695","0.000105330309609482","0.395501543423782","-0.743927988582689","-3.5888946433783","0.000323873815823062","0.00282190063597882","0.0184897106652845","-0.000154232610886949","-9.03728474306993","0.702213461237858","0.287937679062096","0","3138.2405980639","-1525.37047233614"
"38","-2.5","1e-04","-5e-04","-4","-1.75","-2","-3","0.001","0.001","0.001","0.005","-10","0.2","0.2","4163897","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-2","-2e-04","-5e-05","-5","-1.125","-0.5","-3","0.001","5e-04","0.001","0.005","-15","0.2","0.2","1808213","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"40","-1.5","-2e-04","-5e-04","-5","-2.375","-1","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","744389","NaN","34.8561939012963","61.1729351785082","65.7370772180811","3.97629383346696","-111.160392862453","-3.64523554720207","-6.01451878552702","0.00211982641038208","0.0323009008048516","0.175000202889958","-0.0349206335249794","-4.3759586701429","0.525480289462347","0.280170644768769","0","3134.92217713334","-1523.71126187086"
"41","-1.5","-0.00035","-2e-04","-4","-1.125","-0.5","-1","5e-04","0.005","0.001","5e-04","-10","0.2","0.2","2717684","NaN","-1.29995258915054","-0.000226454466454194","-4.00009526892075","-3.40812338129807e-05","0.455355062998069","-0.767591976560847","-3.25855080833724","0.000547190071590686","0.00093337924215865","0.00513462362521185","0.000531311378574196","-7.80740211599237","0.402927554233389","0.296855559221393","0","2919.7632294916","-1416.13178804998"
"42","-2","1e-04","-5e-05","-5","-0.5","-1","-3","0.001","0.001","0.001","0.005","-5","0.2","0.2","6446348","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"43","-2","-2e-04","-2e-04","-2","-1.75","-2","-3","0.005","0.005","0.005","0.005","-5","0.2","0.2","6807938","NaN","-4.92001383858192","-0.000103300201733736","-1.06072218278112","-0.328367947864877","-1.1573123136443","-2.6005947844408","-3.04004046478365","0.00114812091336655","0.0214959882954738","0.00923046747150673","-0.000935835890747831","-4.75485013942515","0.538326665580196","0.28199215938684","0","3159.44817682143","-1535.9742617149"
"44","-2.5","-5e-04","-5e-04","-2","-3","-1","-3","5e-04","0.005","0.001","0.001","-5","0.2","0.2","5741002","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"45","-1.5","-0.00035","1e-04","-4","-0.5","-0.5","-0.5","0.005","0.005","5e-04","0.001","-15","0.2","0.2","1012109","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-2","-2e-04","-2e-04","-2","-1.125","-1","-1","0.001","0.005","0.001","5e-04","-5","0.2","0.2","5021063","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"47","-2","1e-04","1e-04","-4","-1.75","-2","-0.5","5e-04","0.005","0.001","0.005","-5","0.2","0.2","6517123","NaN","-1.93116866842901","-0.00500795207281906","-3.92298804101643","-0.128404196900098","-1.79763604527222","-2.151961178664","-0.540770023039558","0.000875114239046284","0.0138491897221969","0.00502288103943919","0.000309596374651787","-4.94527506336333","0.530263784642385","0.447562592535421","0","3582.68965006394","-1747.59499833616"
"48","-2.5","1e-04","-5e-04","-4","-0.5","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","821397","NaN","-2.36583808826975","0.25031254529458","-14.711337840243","0.00175515359398816","7.85468803483475","-6.49017466636049","-5.9469896401064","0.056107098940468","0.068427128396254","0.052416276658584","-0.0370732015401144","-7.07815800581401","0.497980128487098","0.283257445361592","0","3100.35377876784","-1506.4270626881"
"49","-3","-5e-04","-5e-05","-2","-0.5","-2","-0.5","0.005","0.001","5e-04","0.005","-5","0.2","0.2","6237326","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","-2","1e-04","-5e-05","-4","-1.125","-2","-0.5","0.001","0.005","0.001","0.005","-10","0.2","0.2","4267723","NaN","-1.9970897940958","0.00203144336609908","-4.39009620769453","-0.0806438539886991","-1.46119776318473","-1.23057320239234","-1.18526159889565","0.000720981462987976","0.00550363342732062","0.00488941290601743","0.000215473645124716","-8.80822257492456","0.614504072285445","0.333422022671696","0","3408.69690654368","-1660.59862657602"
